year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.007556649694543283,-1.327105460399184,0.3333333333333333,0.8022878909066405,
2017,12,0.1065792330824964,0.01742050927945482,0.2202060264077017,-0.20278551712824688,-0.18231384180013677,-2.938330119291215,0.16666666666666666,0.6305660580353492,-0.08304419873493185
2018,12,-0.21145352092838876,-0.19796724042729053,-0.18314752676606916,-0.014819713661221368,-0.061437978435260554,-0.331090568417019,0.6666666666666666,0.3745294117899439,0.01335806671375983
2019,12,0.082628654647106,0.14663491999569644,0.16232178671069986,-0.01568686671500341,-0.08536122327114481,-0.05092262412354082,0.4166666666666667,1.3397423384348566,0.06145219084198916
2020,12,-0.03793166038069318,0.0482627513245355,0.23508280769062018,-0.18682005636608467,-0.13552907012734883,-2.042859282572363,0.16666666666666666,1.06717979028914,0.07714899263910047
2021,12,-0.08836932369220363,-0.116743600795428,-0.2096455942527421,0.09290199345731409,-0.0251352975544874,1.2133514358440012,0.6666666666666666,1.4735399169592718,-0.03796358426143398
2022,12,-0.09035598413933799,-0.12168508999941363,-0.13542302220970692,0.013737932210293291,-0.03074860020800929,0.19933090514206897,0.4166666666666667,1.611263054985342,-0.04215046267103684
2023,12,-0.22336039016330844,-0.1890652455729951,-0.25142872060334565,0.06236347503035056,-0.024130398304414102,1.389698177760231,0.5833333333333334,1.8678646712903924,0.04215371362037734
2024,12,0.22402596390946283,0.1238214079489206,0.12128508049726561,0.002536327451654996,-0.03990272793996219,0.007265028851611651,0.5,1.005555195231877,-0.09145046884018926
2025,12,0.15489864432421596,0.09341360224257422,0.164917458828177,-0.07150385658560277,-0.07119072020322226,-1.2004554413464954,0.4166666666666667,0.5549504003310085,-0.05411748184066023
2026,6,,,,,-0.018895235715913894,0.31315001094089767,0.3333333333333333,2.558110143818486,
