year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.059960138445286915,-3.003476226859467,0.3333333333333333,0.15546525352511253,
2017,12,0.05051574009012616,-0.044399997575455985,0.2202060264077017,-0.2646060239831577,-0.21162687955125792,-4.8177841150356615,0.08333333333333333,0.35718495670564876,-0.09417760512890472
2018,12,-0.20561720162125674,-0.25962717805552926,-0.18314752676606916,-0.0764796512894601,-0.11871614869316893,-1.7858534317746226,0.3333333333333333,0.4976184211384804,-0.0671421714186281
2019,12,0.15650992488951965,0.10176545326241548,0.16232178671069986,-0.06055633344828437,-0.11167618637409171,-0.5851798298307674,0.5833333333333334,0.4481393287112721,-0.05132934431618141
2020,12,0.13322175366060862,0.0949915111699553,0.23508280769062018,-0.14009129652066488,-0.08137682298605275,-1.38257865721894,0.25,1.1534805747546428,-0.03177742712484066
2021,12,-0.16132210262362756,-0.21452420803671213,-0.2096455942527421,-0.004878613783970032,-0.044767724858770674,-0.11662499041000789,0.5833333333333334,0.6592814064107182,-0.06358403586970562
2022,12,-0.14155545283756676,-0.21485482842910064,-0.13542302220970692,-0.07943180621939372,-0.08426706363139791,-1.4444585122414284,0.16666666666666666,1.6092700998565368,-0.08292484079358631
2023,12,-0.2622363553730639,-0.331797621344041,-0.25142872060334565,-0.08036890074069536,-0.12104113950391249,-1.413229269730876,0.3333333333333333,0.6086676547756562,-0.09185229284826013
2024,12,0.12623571622492968,0.07240177235006762,0.12128508049726561,-0.04888330814719799,-0.05701884256418077,-0.7119204896073584,0.5,0.6274786681203283,-0.05234300694106875
2025,12,0.10088174769474656,0.13213602429915694,0.164917458828177,-0.03278143452902005,-0.03889501308412646,-0.2894176514667756,0.3333333333333333,1.5551295194234411,0.03293624614211699
2026,6,,,,,-0.07445405937649296,-0.3097543945332353,0.3333333333333333,1.5548799719860633,
