year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.04873934646946232,-4.336960197996143,0.0,,
2017,12,-0.21854738850936728,-0.36800464426759427,-0.20837844474318756,-0.1596261995244067,-0.20083639990466184,-4.564933453218363,0.08333333333333333,0.03187987779136596,-0.19688276445774255
2018,12,-0.2672783895210238,-0.4430778558556614,-0.31300874315117466,-0.13006911270448673,-0.19107872150549265,-3.9466714789787014,0.08333333333333333,0.48739040788367677,-0.24149342933705154
2019,12,0.12794954900571276,0.06664375115587595,0.23191307815818663,-0.16526932700231067,-0.12824084413397974,-2.8764253718197645,0.08333333333333333,1.0708994514696222,-0.0662394385133257
2020,12,-0.10478188750169315,-0.26122943981995717,-0.0023411739685105237,-0.25888826585144664,-0.16593549942553787,-2.652320710702821,0.08333333333333333,0.11374218402012595,-0.1856640703662762
2021,12,0.10986161873400513,-0.03384949352729394,0.05826006212485635,-0.09210955565215029,-0.08790064607166181,-1.6847506019267429,0.25,0.6558077912546859,-0.12949001550164274
2022,12,-0.09316462215821897,-0.2504337624555313,-0.09104207055638247,-0.1593916918991488,-0.14683635016950414,-3.2318029632987795,0.25,0.21966107968191764,-0.1716289476282623
2023,12,-0.2721771940019386,-0.3752632111454758,-0.3227519459452467,-0.052511265200229085,-0.06786058897015645,-1.8781061847945577,0.3333333333333333,0.4644520838192985,-0.13696450856757791
2024,12,0.08471292702220268,-0.004296912830567101,0.14896792910812517,-0.15326484193869228,-0.12844884248379207,-1.5354060200561963,0.4166666666666667,0.2719118613938242,-0.08434533463717053
2025,12,0.23151705139498935,0.2293401525804739,0.27964393481905936,-0.05030378223858545,-0.04974408010824738,-0.8186429303969052,0.5,0.5406038004203637,-0.0046753424990981785
2026,6,,,,,-0.03516228127473575,0.3203110646597174,0.5,1.262776762124122,
