year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.02437433293699709,-1.4330023349198349,0.3333333333333333,0.779302054419385,
2017,12,-0.26516390690958846,-0.31313043644607486,-0.20837844474318756,-0.10475199170288729,-0.13468489983711285,-3.8112223452802163,0.25,0.2218245156488738,-0.0654452098889533
2018,12,-0.3244216604616792,-0.3210433438187289,-0.31300874315117466,-0.008034600667554237,-0.04818537908265652,-0.038889402185053074,0.3333333333333333,1.941535791192386,0.008804732581010555
2019,12,0.10683209562239981,0.0704209432111218,0.23191307815818663,-0.16149213494706482,-0.1341749714152547,-3.671276637602105,0.16666666666666666,0.184278132357664,-0.03814288571641844
2020,12,-0.10909400731856544,-0.14607702723710858,-0.0023411739685105237,-0.14373585326859806,-0.12672311732062103,-1.7164946076468521,0.25,0.7838154491387167,-0.03359561494434238
2021,12,0.08834409182447778,0.0014637017941714348,0.05826006212485635,-0.056796360330684914,-0.13318774268598332,-0.6882343658804484,0.5,0.6096088916632346,-0.08150939760326203
2022,12,-0.13395258865751603,-0.12488790584806153,-0.09104207055638247,-0.03384583529167906,-0.060184111770477666,-0.7589116916855064,0.4166666666666667,0.8394141104907713,0.007774366471640537
2023,12,-0.3076135874899225,-0.3014732863885756,-0.3227519459452467,0.021278659556671076,-0.00998487484956967,0.8344777714403494,0.5833333333333334,1.3625824766168424,0.008180982668540393
2024,12,0.05981431133251225,0.044694639796241775,0.14896792910812517,-0.1042732893118834,-0.07138049861912454,-2.02396278344872,0.16666666666666666,1.1634027464912085,-0.01725197391348099
2025,12,0.1427012892188666,0.2456759744291772,0.27964393481905936,-0.033967960389882146,-0.04078583648689027,-0.5553211686940045,0.5,0.6626166774706213,0.09102812100893476
2026,6,,,,,-0.09738975132690197,0.11175416205632041,0.6666666666666666,0.5512256332086191,
