,ann_ret,vol,sharpe,max_dd
G1,-0.10471694055648872,0.22980745520898474,-0.45567251271835424,-0.7308555958863295
G2,-0.08937110866929487,0.2320401442141768,-0.38515365077003183,-0.69965547186684
G3,-0.09616356134089055,0.22475516144359098,-0.427859190077046,-0.7132314509215656
G4,-0.08287295037924003,0.2269239873359871,-0.3652013669957997,-0.6842051994551515
G5,-0.08315074193693861,0.22582176800932774,-0.3682140241391787,-0.6904612400335673
G6,-0.10437544684720246,0.22059605421820178,-0.4731519211307373,-0.7456477829496353
G7,-0.09581934502551093,0.22617881833780634,-0.4236442020950044,-0.7253019165211803
G8,-0.09427010243537781,0.23125120940228192,-0.4076523650580639,-0.7366507265908893
G9,-0.1287734569625837,0.22480801504171627,-0.5728152394330246,-0.8015054200855404
G10,-0.1369561266501227,0.2319517604116342,-0.5904509041322769,-0.8384175122845454
LS,-0.1582106015165189,0.06250727361276753,-2.5310750633059653,-0.8227560968432917
LS_gross,-0.037923810049539486,0.0606494886966681,-0.625294802388382,-0.44733273314226674
BENCH,-0.06325518995173107,0.23451794536523513,-0.26972430554607785,-0.6372066457825398
