,ann_ret,vol,sharpe,max_dd
G1,-0.039221374018589494,0.20479798049881717,-0.19151250380037815,-0.523126533263476
G2,-0.07326925981959387,0.21115787507952408,-0.3469880523849748,-0.63460885312982
G3,-0.0774339085122524,0.2133513927403892,-0.36294072195945654,-0.6499317182811153
G4,-0.07486549490817096,0.22291303822559924,-0.3358506774843888,-0.6664729013990085
G5,-0.08801654673397352,0.23139507042758528,-0.380373473692985,-0.671074219708931
G6,-0.08930868868073794,0.2350450434854305,-0.37996414370794346,-0.726980688567078
G7,-0.10338276069000851,0.24216880279399194,-0.4269037113667945,-0.7521082631645168
G8,-0.10284504718997656,0.24353777712964647,-0.42229607415373327,-0.7754817197127029
G9,-0.14903579518345134,0.2453041818752624,-0.6075550528495934,-0.8495803490824141
G10,-0.18971110961697435,0.2409492886256921,-0.7873487018742985,-0.8930246180437993
LS,-0.24361571742618426,0.10094629389550604,-2.41332007372516,-0.9378781170579747
LS_gross,-0.14862424314712352,0.09623272360479233,-1.5444251973735275,-0.7984422394573418
BENCH,-0.06325518995173107,0.23451794536523513,-0.26972430554607785,-0.6372066457825398
