year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.06087527728337694,-3.423101315196106,0.16666666666666666,0.2929199971341852,
2017,12,-0.08149739730582994,-0.09643548208510644,-0.0511146318616541,-0.045320850223452336,-0.04304500410788281,-1.8632181069171903,0.16666666666666666,1.2519725466272895,-0.021963107310717045
2018,12,-0.29603638277802635,-0.24803482356901096,-0.27987957222849225,0.03184474865948128,-0.0499267637059726,0.6278164716433633,0.75,0.5224982613978948,0.05904926043785674
2019,12,0.1049861060992654,0.1422381203312446,0.21148937490818254,-0.06925125457693793,-0.10475957647630707,-0.6672673445396488,0.3333333333333333,1.197811811300833,0.040613585027550414
2020,12,-0.025987588401528483,-0.045998650554346265,0.07969758041170594,-0.1256962309660522,-0.053296335703707065,-0.8559392788858539,0.5,0.44021595049370077,-0.02667052262379055
2021,12,-0.04325585969794965,-0.07453234366562778,-0.000766836873308363,-0.07376550679231941,-0.03455730905351706,-1.14510318787962,0.3333333333333333,0.904856226017405,-0.04200991385438457
2022,12,-0.14410888513670073,-0.1178156212325786,-0.10382021613593906,-0.013995405096639546,-0.03309681136882614,-0.2938140959962032,0.5,0.7954757421104918,0.019868120960980784
2023,12,-0.35540401792278986,-0.36950576434742366,-0.28020958864022805,-0.08929617570719561,-0.10704468890568608,-2.8398777400947344,0.25,0.2899623503315401,-0.022849337133810543
2024,12,0.09699526646390799,0.0652591886187146,0.121362559016851,-0.0561033703981364,-0.051808268267103164,-0.6372787281924657,0.4166666666666667,0.7935586835458173,-0.02998845754959989
2025,12,0.24700554302547006,0.35520385021376333,0.35270501764150897,0.0024988325722543614,-0.022058464116737286,0.128102210715849,0.5,1.110196191413043,0.08695273668673842
2026,6,,,,,-0.02869321396806568,0.9162888355798974,0.5,1.9145882891456285,
