year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.03145871275135048,-2.4882984820477514,0.16666666666666666,0.6410023972472364,
2017,12,-0.11347636767524949,-0.18261404542395931,-0.0511146318616541,-0.1314994135623052,-0.13545761758469888,-4.297013383333261,0.0,,-0.07618816194370914
2018,12,-0.297532492953973,-0.28961678987134054,-0.27987957222849225,-0.009737217642848295,-0.03184044965354016,-0.13078888214087986,0.4166666666666667,1.2546366852016297,0.012612168184177985
2019,12,0.09792629870550118,0.0766586755487888,0.21148937490818254,-0.13483069935939374,-0.13626515689274998,-2.055121302237607,0.3333333333333333,0.43631352473226287,-0.016575625094971347
2020,12,0.07794199270110536,-0.11926406416224511,0.07969758041170594,-0.19896164457395105,-0.13579373042079113,-2.1150214231228457,0.16666666666666666,0.6268094348524003,-0.19858892009774554
2021,12,0.0975886939790449,-0.06664139881525888,-0.000766836873308363,-0.06587456194195052,-0.10594095897041289,-1.0241351566201526,0.4166666666666667,0.6438756118133635,-0.15492723560295374
2022,12,-0.09169119383290703,-0.0652590052565335,-0.10382021613593906,0.03856121087940556,-0.018610619036318332,0.880293397989144,0.5833333333333334,1.3474998189743,0.027559830120484463
2023,12,-0.2257103036593543,-0.2887773589648499,-0.28020958864022805,-0.00856777032462186,-0.029156008550026535,-0.45126028257574013,0.5,0.7348868421997616,-0.07962277048123512
2024,12,0.0997168062031315,0.10319979802888946,0.121362559016851,-0.018162760987961546,-0.03575183430874418,-0.25476098589861285,0.5,0.7951919519213245,0.0067608489390034165
2025,12,0.25500827928498615,0.13223002956659102,0.35270501764150897,-0.22047498807491794,-0.1632505549398865,-2.483743618543071,0.3333333333333333,0.2588659906639908,-0.10610598377335456
2026,6,,,,,-0.13318759581068262,-0.092857725640128,0.5,0.923406402486067,
