,ann_ret,vol,sharpe,max_dd
G1,-0.12592624373495598,0.23600273545557374,-0.533579593863059,-0.7940717027120605
G2,-0.10532720395526718,0.22669603866637114,-0.4646186346038334,-0.7439396505243747
G3,-0.09059794362894502,0.22266924786788428,-0.4068722757922066,-0.7149836393943905
G4,-0.07831821941572559,0.22319028932127616,-0.3509033464399014,-0.6821631285354935
G5,-0.07371006255384516,0.21582963695559565,-0.34151965222927244,-0.6681572821900272
G6,-0.07608018241290704,0.21990298352559862,-0.3459715788897,-0.674007193265084
G7,-0.07632074182259574,0.21638109912599596,-0.3527144567195083,-0.6573024493735801
G8,-0.08143026452052837,0.20896670450456273,-0.3896805699912369,-0.6807411685516227
G9,-0.09508480009132592,0.2128561665946485,-0.4467091633403327,-0.7374122558813018
G10,-0.10281294307798838,0.23090637962647886,-0.4452581312144849,-0.7736327703016436
LS,-0.11231095575131056,0.08947544664562448,-1.2552153687047594,-0.7013214061643761
LS_gross,0.020357293462708093,0.05828374287906579,0.3492791035220213,-0.11751976143360832
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
