,ann_ret,vol,sharpe,max_dd
G1,-0.05485898600480854,0.18801664680072092,-0.2917772810986979,-0.5980469027569495
G2,-0.05250691924310924,0.20079744222681137,-0.26149197251128276,-0.5775203265552356
G3,-0.04672298428781285,0.21199589326256543,-0.22039570469388556,-0.5780005343684198
G4,-0.05083724217232555,0.21406638434404873,-0.23748353730597718,-0.571833042046073
G5,-0.048416653181971636,0.21539224970097448,-0.22478363659410996,-0.5725994417816481
G6,-0.05087699285587888,0.21747443510011538,-0.2339447063396551,-0.5907743381052402
G7,-0.05431964878324258,0.22071070524835573,-0.24611243356827275,-0.5924983771762653
G8,-0.05984363288733874,0.22131171731011762,-0.2704042678566432,-0.6092928036770642
G9,-0.06995129058372229,0.22593531624669508,-0.309607598076184,-0.6649627872609608
G10,-0.11279697747374662,0.2377985049945606,-0.47433846346648284,-0.7880980050172408
LS,-0.12450138178882642,0.14574016335254675,-0.8542695364465626,-0.7379330601641034
LS_gross,-0.05734635806600641,0.14228855709422095,-0.40302860073303487,-0.48216174726988326
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
