,ann_ret,vol,sharpe,max_dd
G1,-0.20861421155001114,0.24859496565466688,-0.8391731143896349,-0.9133268597240065
G2,-0.12299380241788993,0.23737533607780054,-0.5181406141435786,-0.7968144413216524
G3,-0.09143586260516245,0.22585071105938215,-0.40485089542676506,-0.7088097038346841
G4,-0.06954973710548473,0.21917053195045494,-0.3173316069753709,-0.6665361860236925
G5,-0.05861293365774478,0.21450158438960162,-0.2732517516107734,-0.6043879904828651
G6,-0.04945304579879106,0.20813988424500246,-0.23759524023074619,-0.5955034841311757
G7,-0.02803032574688602,0.20426538989158236,-0.13722503729958185,-0.5146247882253125
G8,-0.023980537745689645,0.19609518957552774,-0.1222902907388931,-0.4870384475228319
G9,-0.016299897106282435,0.19331305816581856,-0.08431865524728721,-0.4114779378785607
G10,-0.014638588411356235,0.18427216369661598,-0.07944004193415276,-0.411126763543347
LS,0.0899740219553975,0.1264617209891797,0.7114723827227991,-0.1545233980904166
LS_gross,0.21167498203228008,0.12058288398801194,1.7554314097623034,-0.12611299254885888
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
