,ann_ret,vol,sharpe,max_dd
G1,0.03488677996321954,0.21583425348788227,0.16163690146234463,-0.4348318511827951
G2,-0.0055702479511761105,0.205513955821561,-0.027103988772482775,-0.45339082295434985
G3,-0.00994481671657843,0.20175822911961108,-0.04929076132345863,-0.4284813995941005
G4,-0.03598066830290336,0.20176606320682983,-0.17832864323679487,-0.5265794468552034
G5,-0.03319138391002474,0.19838486697421798,-0.16730804328103455,-0.5222094989810399
G6,-0.05453993768178489,0.19839698169460507,-0.27490306160876427,-0.5688584734099644
G7,-0.05744584179627832,0.20557924070683348,-0.279434059580943,-0.5994146908277651
G8,-0.06116403149644378,0.2162871993863934,-0.2827908062519007,-0.5903745479933566
G9,-0.09083010923331925,0.23868807821768623,-0.3805389440124494,-0.7043419811197533
G10,-0.17620159875056762,0.26616679053414943,-0.6619969320626451,-0.8663518308425794
LS,-0.25390515450769924,0.13435713716796788,-1.8897779445112561,-0.9443875388362157
LS_gross,-0.1884585817143396,0.132183308530842,-1.4257366063005377,-0.8718744308079089
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
