year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.10888888638876093,-3.8560787521466433,0.0,,
2017,12,-0.21617739604818598,-0.3598597465783052,0.002859362588019332,-0.36271910916632455,-0.3652726266026364,-3.152234974803795,0.25,0.3145144753591289,-0.17300058959602338
2018,12,-0.2133227174438681,-0.38533256889144263,-0.23506576116909061,-0.150266807722352,-0.2485085205813733,-1.5490413935537024,0.25,0.8855065988127292,-0.2219128291746909
2019,12,0.31286343480214107,0.10849001162212502,0.19261322210251897,-0.08412321048039395,-0.15419245953058358,-0.405267654548813,0.5,0.7221711199095252,-0.14865354409347986
2020,12,0.03026307734843514,-0.2442268494623826,0.14406132727068166,-0.38828817673306426,-0.3251451013070854,-4.238619855465165,0.08333333333333333,0.007171021439209645,-0.27191120477850106
2021,12,0.19864820030408326,0.00013931950434731277,-0.09465316897595921,0.09479248848030652,-0.09884500133746388,0.698289646281103,0.5,1.6630082467407183,-0.16455232355066474
2022,12,0.020330485252881836,-0.18142392722409206,-0.11077683880020706,-0.07064708842388501,-0.13235459332818456,-0.3434370903656542,0.4166666666666667,1.0977731104330517,-0.18725188560290262
2023,12,-0.1612960118498481,-0.3219917895771187,-0.25271862213622487,-0.06927316744089385,-0.14827429487242183,-0.41398925253787694,0.5833333333333334,0.5046893380526488,-0.18946245657840532
2024,12,0.20204438566354077,0.036823995081630256,0.11434797450486012,-0.07752397942322986,-0.13671271828617904,-0.35731363520544196,0.5,0.7630103324340048,-0.13047618715681064
2025,12,0.4556290703987218,0.14897363157510513,0.24212967510192374,-0.09315604352681861,-0.1114701485769487,-0.8628581999699163,0.3333333333333333,0.943386440712604,-0.21513107564734102
2026,6,,,,,-0.1685214479863395,-1.3900850681469097,0.5,0.2038798765269828,
