,ann_ret,vol,sharpe,max_dd
G1,-0.14385777195546734,0.2170931653789916,-0.66265454144688,-0.8208296357384521
G2,-0.08748757952957897,0.21629468742305338,-0.4044832564863739,-0.6999578388525338
G3,-0.07666404546896533,0.21001008772791738,-0.36504934738320244,-0.6533657830398025
G4,-0.06763846453074385,0.20902816242394906,-0.32358541426374937,-0.647018075384461
G5,-0.06588863791638588,0.21107885809594454,-0.3121517640882661,-0.6464611460827572
G6,-0.06477735435647947,0.21387061431355345,-0.3028810412519322,-0.6455821459834448
G7,-0.059856102713261916,0.20460366739872934,-0.29254657785099725,-0.6026464845882319
G8,-0.04558085842248005,0.21033145658485275,-0.21670965989859745,-0.583462870860284
G9,-0.05631195421504642,0.2132355785141753,-0.2640832951397131,-0.6084630732346543
G10,-0.0653803328968845,0.20975922931340438,-0.311692282198457,-0.6615211335808806
LS,-0.045298165820155445,0.06454445256361446,-0.7018134637598786,-0.4197812501550994
LS_gross,0.08704406733689773,0.053088573970326354,1.6396007808676623,-0.05826286980165429
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
