,ann_ret,vol,sharpe,max_dd
G1,-0.07325686153452138,0.22135263002803227,-0.33095094250853974,-0.6735817022674024
G2,-0.08252413588859964,0.21714678522715042,-0.3800384878011145,-0.6998599941730277
G3,-0.062100827229889854,0.2145536834002069,-0.28944190677935466,-0.6356172223325538
G4,-0.057399522377091894,0.21161528411691097,-0.27124469112250144,-0.6074220635699645
G5,-0.06277783160955308,0.21175161891372823,-0.2964691931594157,-0.6279103689353134
G6,-0.06350323368706101,0.21132654785583393,-0.30049813585362994,-0.6385028384803094
G7,-0.06151037123273362,0.21509049157079976,-0.28597438586673507,-0.6234588939988537
G8,-0.06603653708262147,0.20885305192247824,-0.3161866033307132,-0.6338147214729994
G9,-0.07079146387548385,0.20643038180046647,-0.34293141958101,-0.6377341834713572
G10,-0.09267832001222198,0.21039600576520343,-0.44049467419856164,-0.7170843073394243
LS,-0.14528444605581925,0.09237120472265552,-1.5728326429436068,-0.7894981467984523
LS_gross,-0.029847522643025592,0.08259478144765293,-0.36137298410242064,-0.32278827894659434
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
