,ann_ret,vol,sharpe,max_dd
G1,-0.07403924181005028,0.22776839989387204,-0.3250637131601602,-0.6663406921699602
G2,-0.07819524538734746,0.21885827617917672,-0.357287130066445,-0.6764731585567177
G3,-0.06243667041367873,0.21476120419316597,-0.29072602124879293,-0.6388498277913017
G4,-0.06373814843139236,0.2136899329470196,-0.2982739876997155,-0.6371225140628076
G5,-0.062432860904198195,0.21126250594174265,-0.2955226750998332,-0.6286174688684601
G6,-0.061887331736304896,0.2098146550397918,-0.294961911619414,-0.6210381235050102
G7,-0.06494731822065336,0.21048239392096568,-0.3085641369369854,-0.6341377295470072
G8,-0.06840853699289118,0.20698650409271271,-0.3304975717752586,-0.6492678678140211
G9,-0.0647451490451576,0.20241302540870929,-0.31986651508431924,-0.6312437733589877
G10,-0.08844989491334898,0.20584917604727507,-0.42968301652582613,-0.7125764739944407
LS,-0.14187539188993392,0.081152991492379,-1.7482459892221878,-0.7818323964287455
LS_gross,-0.025934682642802742,0.06570860352295892,-0.3946923424379432,-0.3297956443723742
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
