,ann_ret,vol,sharpe,max_dd
G1,-0.04732721817225538,0.19888617930312324,-0.23796132208927284,-0.5830675303857473
G2,-0.03172537957557697,0.20359697295509152,-0.15582441681279224,-0.538726968012331
G3,-0.04114900946367184,0.20897998609383878,-0.19690406834075777,-0.5455713570434884
G4,-0.058487016046517404,0.21040441584294528,-0.27797428020795234,-0.6344359044099495
G5,-0.06002992528176232,0.21556297855913442,-0.27847975419069737,-0.6322696448111689
G6,-0.07074382489339737,0.21582513729970434,-0.3277830644683402,-0.6482528361454922
G7,-0.060926531425668395,0.22065606455468115,-0.27611537234939715,-0.6180130828767296
G8,-0.07014607260367456,0.21746079507403834,-0.32256882248495455,-0.6496878611462903
G9,-0.0799411892833165,0.21991117160439916,-0.3635158173188385,-0.6872749026196171
G10,-0.10293394629238295,0.22271936983391927,-0.462168810773577,-0.7358625007981121
LS,-0.12150854012025625,0.08748145068364037,-1.388963479351391,-0.7225004073384356
LS_gross,-0.05318876255838334,0.09433045752393908,-0.5638556618352578,-0.420219015038963
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
