year,n_months,g1_ann,gN_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,,,-0.10632258101023717,-4.5450792930000015,0.16666666666666666,0.1150425092684346,
2017,12,-0.2139327575295329,-0.2854169096190333,0.002859362588019332,-0.28827627220705265,-0.29430922439931806,-2.6839894941001208,0.25,0.5378405056686901,-0.0831456094939782
2018,12,-0.2745346914846759,-0.3342730867695821,-0.23506576116909061,-0.0992073256004915,-0.18880751067018453,-1.1028808677781687,0.3333333333333333,0.8452578694422579,-0.08368093911248964
2019,12,0.08837005458708003,0.13162583931800076,0.19261322210251897,-0.06098738278451821,-0.08905477057277822,-0.5101875560303211,0.4166666666666667,0.9560085267230255,0.044684723477670385
2020,12,-0.11503969801214786,-0.07551004938166683,0.14406132727068166,-0.2195713766523485,-0.22120067723837844,-1.8307656816045164,0.3333333333333333,0.36870288526906014,0.0398205864896406
2021,12,0.2086371455140854,0.015030505110756653,-0.09465316897595921,0.10968367408671587,-0.041312172305794204,1.1371701163214576,0.5,2.2256645235910444,-0.1643750681626741
2022,12,-0.016875427114153685,-0.06410966547749386,-0.11077683880020706,0.046667173322713196,-0.04917291118985534,0.6473346476869626,0.6666666666666666,0.8023692323253033,-0.038997116906644425
2023,12,-0.22062764700997084,-0.2696121350609275,-0.25271862213622487,-0.016893512924702647,-0.08651702209622714,-0.07147193900014286,0.5,0.9444675681213257,-0.06148926310203673
2024,12,0.0972610101269693,0.1262488940242319,0.11434797450486012,0.011900919519371778,-0.06020987676781475,0.1908363275574233,0.4166666666666667,1.6516357910332626,0.019298270313507615
2025,12,0.25236045950630737,0.22306482349009515,0.24212967510192374,-0.01906485161182858,-0.07232763864664715,-0.27170126019953245,0.6666666666666666,0.3998773610751557,-0.023290620679092933
2026,6,,,,,-0.20637536935563405,-1.1165790226808994,0.3333333333333333,0.8069976223514358,
