,ann_ret,vol,sharpe,max_dd
G1,-0.08915582779165099,0.22694319057410786,-0.39285526728565723,-0.7053695144150415
G2,-0.0911393241488555,0.22200993261614047,-0.410519128918602,-0.7101869430591418
G3,-0.08507088673316354,0.22033289385022675,-0.3861016176322326,-0.6964470784287342
G4,-0.07630511021292741,0.21385716617719921,-0.3568040836644305,-0.6617510019454667
G5,-0.06786699468560375,0.2141860075909589,-0.31686007619700607,-0.6499824721316823
G6,-0.07447680161146697,0.20810953224471193,-0.35787309119455013,-0.648115790321308
G7,-0.0658306966548412,0.20453477159444286,-0.32185577122980397,-0.6519015670814365
G8,-0.07069251978645463,0.20572108482809032,-0.3436328359124124,-0.6667626446383289
G9,-0.0512023807655021,0.20093114637430956,-0.2548255046040422,-0.5966907469660133
G10,-0.03946069588445977,0.20208066784309764,-0.19527199858176642,-0.5547387320285562
LS,-0.06392566023867241,0.06851351952655987,-0.933037168144472,-0.5148415038634311
LS_gross,0.050498571691723004,0.060117096294058765,0.8400035065684578,-0.09245435946983838
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
