,ann_ret,vol,sharpe,max_dd
G1,-0.06867349606225659,0.22182664199068325,-0.309581822300411,-0.6426282378381172
G2,-0.054383387493013635,0.2210611639019504,-0.24601059061253686,-0.6002411291248051
G3,-0.04795113431960363,0.21261868620161306,-0.22552643502901976,-0.5783262845995707
G4,-0.04220205889540307,0.21181369667894484,-0.19924140675081345,-0.575917066175281
G5,-0.043876150090489396,0.20935057336423965,-0.20958218258209046,-0.5745747157063928
G6,-0.04195856402144715,0.20672625705939013,-0.20296678621425884,-0.5689607480028864
G7,-0.046803703390529194,0.20753003051763846,-0.22552737680319107,-0.5818207562777228
G8,-0.07081346328799965,0.2042117200493603,-0.34676493235002975,-0.6676727907445141
G9,-0.07493923372400091,0.20480871082748062,-0.36589866427666506,-0.6844868017954682
G10,-0.14010538769221192,0.21536974645989776,-0.6505342091689735,-0.8104961615408153
LS,-0.18702673447787044,0.07875947881639396,-2.3746568322763,-0.8736150527325425
LS_gross,-0.07898871071825297,0.06537240358840539,-1.2082883048874558,-0.5739236200490334
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
