year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G1,G5,,,,,-0.03429212415908356,-0.7754450077168219,0.3333333333333333,1.053378008137056,
2017,12,0.02979696830463885,0.09670500617708,G1,G5,0.02979696830463885,0.09670500617708,0.2202060264077017,-0.19040905810306286,-0.16203448063969472,-1.7681951283197266,0.3333333333333333,0.42988901862134726,-0.17733316589981973
2018,12,-0.2612222546526919,-0.2013950058295625,G1,G5,-0.2612222546526919,-0.2013950058295625,-0.18314752676606916,-0.07807472788662273,-0.14130957272490208,-1.1816138997514436,0.3333333333333333,0.8725528114958978,-0.1832815226501655
2019,12,0.14902641449070764,0.1788654363721629,G1,G5,0.14902641449070764,0.1788654363721629,0.16232178671069986,-0.013295372219992219,-0.06753129298704186,-0.07667639382702736,0.5,0.941509544662484,-0.13812819115484942
2020,12,0.18602386636017432,0.15935144578187166,G1,G5,0.18602386636017432,0.15935144578187166,0.23508280769062018,-0.04905894133044586,-0.11421469923719552,-0.43450032394093324,0.5833333333333334,0.5169089257535809,-0.09636749366079111
2021,12,-0.24337072913721314,-0.22647054367023378,G1,G5,-0.24337072913721314,-0.22647054367023378,-0.2096455942527421,-0.03372513488447104,-0.060851829880238295,-0.4606176467849104,0.5,0.6914870619890134,-0.12203882032585012
2022,12,-0.18437066632507526,-0.1662405931797456,G1,G5,-0.18437066632507526,-0.1662405931797456,-0.13542302220970692,-0.04894764411536834,-0.07336951178615925,-0.5112165637548151,0.3333333333333333,1.3840391790209632,-0.13216172708501828
2023,12,-0.36231728860739154,-0.3979371662232548,G1,G5,-0.36231728860739154,-0.3979371662232548,-0.25142872060334565,-0.1108885680040459,-0.14082868213517152,-1.5773619669368386,0.3333333333333333,0.3820241726404353,-0.058394954205934435
2024,12,0.12041563301361458,-0.018217326057129113,G1,G5,0.12041563301361458,-0.018217326057129113,0.12128508049726561,-0.0008694474836510313,-0.06810201499364099,0.1665371818477544,0.4166666666666667,1.5743004262497895,0.02046101307368753
2025,12,0.1259958259405063,0.09305678213911639,G1,G5,0.1259958259405063,0.09305678213911639,0.164917458828177,-0.0389216328876707,-0.0648575716016967,-0.37557606441349545,0.5,0.7638662365220483,-0.08657172536022828
2026,6,,,G1,G5,,,,,-0.057223583788629906,-0.07855320093829544,0.5,0.9382024473788546,
