,ann_ret,vol,sharpe,max_dd
G1,-0.0613425104420241,0.21257952814216907,-0.28856264278185534,-0.6369053626233889
G2,-0.0727575929249632,0.21096706383193764,-0.3448765489902441,-0.629609469997015
G3,-0.06993562616656113,0.18667356953412684,-0.3746412860754549,-0.6673909464424302
G4,-0.06790087373194931,0.1982333977905523,-0.3425299393984631,-0.5811494572049383
G5,-0.0781148098414921,0.1995885631866805,-0.39137918823750056,-0.62720382567855
LS,-0.0960400823135058,0.07816134359185026,-1.2287414455797525,-0.665106056862018
LS_gross,0.01592967483437535,0.0784920729274177,0.2029462879532518,-0.20929660726964672
LS_effective,-0.0960400823135058,0.07816134359185026,-1.2287414455797525,-0.665106056862018
LS_raw_gross_GN_minus_G1,-0.021709035485121597,0.0784920729274177,-0.2765761519025766,-0.3294649905506085
BENCH,-0.0034218499165417082,0.17165738138617548,-0.019934184530309332,-0.4915663893780754
