,ann_ret,vol,sharpe,max_dd
G1,-0.06494969302485154,0.2145690242798259,-0.3026983659120745,-0.6468477645960569
G2,-0.06197063671989056,0.21290011567876066,-0.29107845490040224,-0.5880894738864328
G3,-0.07280272458683879,0.18022299894623256,-0.4039591229339083,-0.6443090038696964
G4,-0.07501255665275719,0.19942599952294215,-0.37614231259815084,-0.635221744723359
G5,-0.0768877226129655,0.19948336627058813,-0.3854342547471932,-0.6182134240582596
LS,-0.09978078559495529,0.07677740844383019,-1.299611273906884,-0.670675092481511
LS_gross,0.011193926051002778,0.07698079480169595,0.1454119313763719,-0.18061333513048328
LS_effective,-0.09978078559495529,0.07677740844383019,-1.299611273906884,-0.670675092481511
LS_raw_gross_GN_minus_G1,-0.016886412326997946,0.07698079480169595,-0.21935876825509112,-0.2955899465386489
BENCH,-0.0034218499165417082,0.17165738138617548,-0.019934184530309332,-0.4915663893780754
