,ann_ret,vol,sharpe,max_dd
G1,-0.01954486086930829,0.1717809881908376,-0.11377778807277095,-0.4570206572046639
G2,-0.06163767428264011,0.18358002261045,-0.3357537133189757,-0.55673848776893
G3,-0.06309363575465687,0.1993755809092597,-0.31645618519036295,-0.599530943680775
G4,-0.032818161953382496,0.18821759594571486,-0.17436287924348906,-0.4770737364499078
G5,-0.03727313549877642,0.19395969313699626,-0.1921694909697033,-0.47255747630619627
LS,-0.0416468983683862,0.12637089925133377,-0.32956082939282116,-0.4968734889369917
LS_gross,0.005646059998829722,0.1261917587124742,0.04474190752578522,-0.23944369316477931
LS_effective,-0.0416468983683862,0.12637089925133377,-0.32956082939282116,-0.4968734889369917
LS_raw_gross_GN_minus_G1,-0.021375091076602737,0.1261917587124742,-0.1693857926594519,-0.24004171798133733
BENCH,-0.0034218499165417082,0.17165738138617548,-0.019934184530309332,-0.4915663893780754
