,ann_ret,vol,sharpe,max_dd
G1,-0.10587613812044516,0.2289484813470317,-0.4624452518641607,-0.7547450592125482
G2,-0.054396594101713935,0.19385430626709022,-0.28060554933851684,-0.49153407618789735
G3,-0.04454070265600374,0.17637339948481745,-0.25253639599909106,-0.5084002638718668
G4,-0.043827957918122995,0.16346563617510831,-0.26811725659069674,-0.5037833535304359
G5,-0.022444660813845774,0.16113260598265355,-0.139293103819484,-0.4551352387378821
LS,-0.007417219402429787,0.1208796677550854,-0.06136035563447969,-0.364923620161114
LS_gross,0.06955152739683901,0.12094613657913074,0.5750620016815,-0.28791804251120257
LS_effective,-0.007417219402429787,0.1208796677550854,-0.06136035563447969,-0.364923620161114
LS_raw_gross_GN_minus_G1,0.06955152739683901,0.12094613657913074,0.5750620016815,-0.28791804251120257
BENCH,-0.0034218499165417082,0.17165738138617548,-0.019934184530309332,-0.4915663893780754
