,ann_ret,vol,sharpe,max_dd
G1,-0.07553009766690522,0.20950069264981097,-0.3605243338892291,-0.6486365641425458
G2,-0.06408274934146796,0.18404842213539216,-0.34818418217313785,-0.5934187995997597
G3,-0.06579035922018772,0.18627258707366248,-0.35319399517531036,-0.5727272944970676
G4,-0.06010726647741482,0.17033817501564033,-0.35287020347550285,-0.5678504349475622
G5,-0.03334669154940795,0.16681220575722028,-0.1999055848343674,-0.4487458341382864
LS,-0.05728578272012319,0.07699433175221154,-0.7440259745936134,-0.4799910255495542
LS_gross,0.03582896259199253,0.0768611324343803,0.46615189572676774,-0.1437268787257192
LS_effective,-0.05728578272012319,0.07699433175221154,-0.7440259745936134,-0.4799910255495542
LS_raw_gross_GN_minus_G1,0.03582896259199253,0.0768611324343803,0.46615189572676774,-0.1437268787257192
BENCH,-0.0034218499165417082,0.17165738138617548,-0.019934184530309332,-0.4915663893780754
