universe,factor,variant,ic_mean,icir,rankic_mean,rankicir,ic_win_rate,n_months,g1_ann,gN_ann,ls_ann,ls_sharpe,ls_ann_gross,ls_sharpe_gross,effective_sign,ls_eff_ann,ls_eff_sharpe,long_group,short_group,turnover_mean,ls_turnover_mean,bench_ann
hs300,A1_tau_20d,S1,-0.0007733197782433144,-0.032806508776615395,0.005300868613246148,0.23862734567988853,0.49166666666666664,120,-0.06607132384385028,-0.07980707332047166,-0.09917920580407791,-1.2363437700721334,0.01222008619292314,0.15195098567577758,-1,-0.09917920580407791,-1.2363437700721334,G1,G5,1.6737375973651891,3.225875578206464,-0.0034218499165417082
hs300,A1v_tau_vol_20d,S1,-0.004312705663413093,-0.19065306996935538,0.00010420903732437648,0.004891827372371403,0.4666666666666667,120,-0.0677654743267907,-0.08151480479498474,-0.09912956068357814,-1.3750963774018419,0.012039058056728225,0.16682407253263748,-1,-0.09912956068357814,-1.3750963774018419,G1,G5,1.6710313466622206,3.2192798343094893,-0.0034218499165417082
hs300,A2a_high_tau_ret_std_20d,S1,-0.0008658371127603421,-0.029451229715898697,-0.015769666580848773,-0.57145948897446,0.5166666666666667,120,-0.01954486086930829,-0.03727313549877642,-0.0416468983683862,-0.32956082939282116,0.005646059998829722,0.04474190752578522,-1,-0.0416468983683862,-0.32956082939282116,G1,G5,0.943883503564288,1.3344681198845758,-0.0034218499165417082
hs300,A2b_low_tau_cum_ret_20d,S1,-0.00987785621100561,-0.4378476136484786,-0.020472768493109545,-0.8831495850509101,0.43333333333333335,120,-0.045782722204662174,-0.07428997306515084,-0.07461213965547142,-0.8640884426929988,0.022083824208672942,0.25613084390082996,-1,-0.07461213965547142,-0.8640884426929988,G1,G5,1.4861516571047568,2.753179241572251,-0.0034218499165417082
hs300,A2c_high_tau_vol_share_20d,S1,0.031247099717535066,0.887532091511978,0.053897699207421705,1.633219792144436,0.625,120,-0.10587613812044516,-0.022444660813845774,-0.007417219402429787,-0.06136035563447969,0.06955152739683901,0.5750620016815,1,-0.007417219402429787,-0.06136035563447969,G5,G1,1.2883880725298875,2.078734003845235,-0.0034218499165417082
hs300,A2d_high_tau_turnover_20d,S1,-0.016824903010802382,-0.4635795564940945,-0.021586322687440106,-0.7002879511010585,0.4,120,-0.03945423109283608,-0.05791381699216247,-0.05646674551377329,-0.4561190367353911,-0.0041346201178387165,-0.033551712397658605,-1,-0.05646674551377329,-0.4561190367353911,G1,G5,0.9558295100704847,1.4926135928174626,-0.0034218499165417082
hs300,A3_tort_vol_joint_20d,S1,0.026964617617608613,0.7847189679388742,0.0448886699424352,1.3703247451679885,0.6333333333333333,120,-0.08597062965826496,-0.036227785662318435,-0.04135055830915768,-0.3518345688007576,0.03456907671303022,0.29337499692474217,1,-0.04135055830915768,-0.3518345688007576,G5,G1,1.3051102738103262,2.116111021306863,-0.0034218499165417082
hs300,B1_lead_lag_20d,S1,0.017527092518467076,0.967887702415858,0.010418264996209719,0.6232126124630326,0.6666666666666666,120,-0.09300329758276737,-0.04945543087972315,-0.06231572237818195,-1.0630361172762615,0.04572306815347127,0.7777627090951195,1,-0.06231572237818195,-1.0630361172762615,G5,G1,1.5649829831418387,3.0265401153363247,-0.0034218499165417082
hs300,B2_path_asym_20d,S1,-0.0033075768587115437,-0.14658979065784358,-0.010954818971043306,-0.4774445262971337,0.4666666666666667,120,-0.060601549569063606,-0.04763510753212741,-0.09598623919516003,-1.217319539694178,0.005632648697643461,0.07132939931227465,1,-0.09598623919516003,-1.217319539694178,G5,G1,1.537297391570408,2.9468705199787943,-0.0034218499165417082
hs300,B2a_path_asym_amt_20d,S1,-0.0029681385690742256,-0.13106797377985066,-0.011041754185828468,-0.48174641108690597,0.475,120,-0.059855558985446145,-0.04484750944857174,-0.09410477420229413,-1.1750875072704168,0.007631073336404448,0.09512993564623444,1,-0.09410477420229413,-1.1750875072704168,G5,G1,1.5377178253574972,2.9447958067372437,-0.0034218499165417082
hs300,B3_cond_lead_lag_20d,S1,-0.01682603271713986,-0.9510855240153002,-0.013556857550859228,-0.7530611319506664,0.4166666666666667,120,-0.023435418415163944,-0.08838268058551535,-0.02629210433024798,-0.386444685557488,0.0706694726681123,1.0416710789737513,-1,-0.02629210433024798,-0.386444685557488,G1,G5,1.4672358679641984,2.640591612140643,-0.0034218499165417082
hs300,B4_cross_20d,S1,-0.0011635014078153695,-0.06137698780003921,-0.0020806782301754537,-0.1055911126807531,0.5083333333333333,120,-0.07311300577744739,-0.049786181632480164,-0.08352897612582744,-1.2417124816784475,0.022267340992917495,0.3320012911668419,1,-0.08352897612582744,-1.2417124816784475,G5,G1,1.5609247924366243,3.0255008784743826,-0.0034218499165417082
hs300,B5a_corr_decay_20d,S1,-0.021342847905774936,-1.1268383645830933,-0.01891144791804541,-1.0874735579210626,0.38333333333333336,120,-0.04144357643791874,-0.0875152782248928,-0.06248473510762809,-0.9923377350360231,0.046395985198994794,0.7393081568135514,-1,-0.06248473510762809,-0.9923377350360231,G1,G5,1.5699561736540706,3.048765465243967,-0.0034218499165417082
hs300,B5b_slope_div_20d,S1,0.007395991143145456,0.2813717359973291,0.010292343525230098,0.38374745664026527,0.5166666666666667,120,-0.07216243159159197,-0.05411372017078753,-0.0951080983297653,-1.0711179294095916,0.006493434807670173,0.07309704751468067,1,-0.0951080983297653,-1.0711179294095916,G5,G1,1.540087504620872,2.9435280360470246,-0.0034218499165417082
hs300,B5c_high_vol_ratio_20d,S1,-0.03000327825784617,-0.9599988487100932,-0.05150701059919964,-1.8978707587827006,0.36666666666666664,120,-0.022928292136736306,-0.08633636897125274,-0.036617423878837374,-0.36881599402191784,0.051543588779937366,0.5175012188631725,-1,-0.036617423878837374,-0.36881599402191784,G1,G5,1.39891472862299,2.4335655958209914,-0.0034218499165417082
hs300,C1_entropy_20d,S1,0.011086914066260545,0.43328900943835,0.016552251871540434,0.6016406833651624,0.5416666666666666,120,-0.04428918679978,-0.0072997670686171245,-0.016745467921639445,-0.19658210225320993,0.03991682382738859,0.46692034960575163,1,-0.016745467921639445,-0.19658210225320993,G5,G1,1.095289733795346,1.5580202623202235,-0.0034218499165417082
hs300,C2_entropy_diff_20d,S1,0.01802840354549006,0.750003144394274,0.02768632101527061,1.1896720752865992,0.5583333333333333,120,-0.07553009766690522,-0.03334669154940795,-0.05728578272012319,-0.7440259745936134,0.03582896259199253,0.46615189572676774,1,-0.05728578272012319,-0.7440259745936134,G5,G1,1.4564230286855675,2.6130349490764218,-0.0034218499165417082
hs300,C3_entropy_std_20d,S1,-0.024268553060898437,-1.1265730105055591,-0.028406323785417655,-1.3432613266111755,0.3416666666666667,120,-0.027333064702253163,-0.1105270632777241,-0.012119894924911834,-0.16088638469356248,0.09110639533788412,1.2054020144738695,-1,-0.012119894924911834,-0.16088638469356248,G1,G5,1.494380685900096,2.769242496035863,-0.0034218499165417082
hs300,A1_tau_20d,S2,-0.0014808339772833903,-0.0674977688373153,0.0026440601130638965,0.1229987705601979,0.5333333333333333,120,-0.0613425104420241,-0.0781148098414921,-0.0960400823135058,-1.2287414455797525,0.01592967483437535,0.2029462879532518,-1,-0.0960400823135058,-1.2287414455797525,G1,G5,1.6702377699259463,3.2321403177573926,-0.0034218499165417082
hs300,A1v_tau_vol_20d,S2,-0.0038668467559706886,-0.1841782420292597,0.0005430442544032093,0.026129574569164052,0.475,120,-0.06494969302485154,-0.0768877226129655,-0.09978078559495529,-1.299611273906884,0.011193926051002778,0.1454119313763719,-1,-0.09978078559495529,-1.299611273906884,G1,G5,1.6708527029215605,3.216147148503424,-0.0034218499165417082
hs300,A2a_high_tau_ret_std_20d,S2,0.005890217136977483,0.27739433284208515,-0.001671300994966397,-0.07360139702057895,0.5583333333333333,120,-0.0260831711609415,-0.027690125686510414,-0.04607846170893992,-0.5299022423226183,0.0022156931722201456,0.025466433920052173,-1,-0.04607846170893992,-0.5299022423226183,G1,G5,0.9946256372909261,1.3689390410650608,-0.0034218499165417082
hs300,A2b_low_tau_cum_ret_20d,S2,-0.007433118083764665,-0.3866405821342623,-0.01091125758388806,-0.5212593017990138,0.4083333333333333,120,-0.040376289620167705,-0.07019972284031961,-0.07042535807311501,-0.9886845206029947,0.02853283202382806,0.40105841317288843,-1,-0.07042535807311501,-0.9886845206029947,G1,G5,1.5014061414150541,2.8040509549561365,-0.0034218499165417082
hs300,A2c_high_tau_vol_share_20d,S2,0.02293475429595523,0.9441965554798087,0.035019564181870716,1.4177668815025026,0.6083333333333333,120,-0.09438507106985039,-0.02499581374669313,-0.02157107048450002,-0.2785141636543389,0.06363166317331159,0.8229248543406842,1,-0.02157107048450002,-0.2785141636543389,G5,G1,1.3699110583871634,2.322338064234869,-0.0034218499165417082
hs300,A2d_high_tau_turnover_20d,S2,0.02476940841631734,0.9959137191553457,0.029818903159266764,1.2919863668611593,0.6,120,-0.10654520532701972,-0.024437547871485332,-0.004689680212258018,-0.06341913834108169,0.08543493458902529,1.1550281082359415,1,-0.004689680212258018,-0.06341913834108169,G5,G1,1.3419297493054072,2.415080877894944,-0.0034218499165417082
hs300,A3_tort_vol_joint_20d,S2,0.01690083030106044,0.8046304840697754,0.022172139618847994,1.0208029699376928,0.5916666666666667,120,-0.08597699121279256,-0.03506720860724888,-0.042212785420588705,-0.5822026441301673,0.04474882825583015,0.6164699296226988,1,-0.042212785420588705,-0.5822026441301673,G5,G1,1.4031812020155863,2.4137761995056404,-0.0034218499165417082
hs300,B1_lead_lag_20d,S2,0.013714607892881453,0.8331126842754251,0.006801213855607697,0.45724976431571596,0.6333333333333333,120,-0.08493404460364928,-0.045107049704336766,-0.0657057892942925,-1.1481601872532383,0.04235742639289053,0.7381764788394549,1,-0.0657057892942925,-1.1481601872532383,G5,G1,1.570738908232215,3.0367218614113844,-0.0034218499165417082
hs300,B2_path_asym_20d,S2,-0.0008075844049480196,-0.03751990984121684,-0.0037820629679465754,-0.16712801478512623,0.475,120,-0.06789689655256115,-0.046365626763784196,-0.08776758708630628,-1.233278532732627,0.014475965841822536,0.20325398224390837,1,-0.08776758708630628,-1.233278532732627,G5,G1,1.5324723191706904,2.9408976097116843,-0.0034218499165417082
hs300,B2a_path_asym_amt_20d,S2,-0.0004677326177029891,-0.021709459648555543,-0.0037463907530522486,-0.16569481509448672,0.48333333333333334,120,-0.0665392990126974,-0.046314925520637984,-0.08916517634324383,-1.2331509899495858,0.012840843258705048,0.1775698093901281,1,-0.08916517634324383,-1.2331509899495858,G5,G1,1.5330828755955432,2.9381879596635923,-0.0034218499165417082
hs300,B3_cond_lead_lag_20d,S2,-0.0177046886044419,-1.0468530483063139,-0.01638300562233889,-0.923765622092014,0.39166666666666666,120,-0.023676677923597067,-0.08738580536605123,-0.030017443609837824,-0.49768480046802205,0.06793199864264055,1.1256327116784677,-1,-0.030017443609837824,-0.49768480046802205,G1,G5,1.4781865577148565,2.675866520415883,-0.0034218499165417082
hs300,B4_cross_20d,S2,-0.0009135747307384349,-0.0508287059577734,-0.0021141341588942816,-0.11448349143256856,0.5166666666666667,120,-0.0685756693038082,-0.052812580828318856,-0.09091802301198837,-1.4964696802130655,0.01420364447694289,0.23511271258940872,1,-0.09091802301198837,-1.4964696802130655,G5,G1,1.5602896542824818,3.028240555812879,-0.0034218499165417082
hs300,B5a_corr_decay_20d,S2,-0.019269524294280586,-1.0898503798533872,-0.016142669028696398,-0.9804141676163718,0.45,120,-0.040021825864301475,-0.08408175080953983,-0.0633961773938464,-1.1350778061874665,0.045530247164484505,0.8193357487285563,-1,-0.0633961773938464,-1.1350778061874665,G1,G5,1.5716022355187202,3.0526106390108105,-0.0034218499165417082
hs300,B5b_slope_div_20d,S2,0.006850011086700392,0.29969763557273543,0.010369925147686032,0.4316706096025139,0.525,120,-0.07603386645232513,-0.0515635453561204,-0.08584209080070637,-1.1680275381678624,0.017110049376199754,0.2325969650533433,1,-0.08584209080070637,-1.1680275381678624,G5,G1,1.5453352447213609,2.954862905844186,-0.0034218499165417082
hs300,B5c_high_vol_ratio_20d,S2,-0.024400306681377226,-1.1105561002933642,-0.03659238189219259,-1.8179812006272265,0.3,120,-0.02600287117039346,-0.0871866417820113,-0.0361016508600841,-0.546570973556699,0.059937661126228114,0.9081151324402775,-1,-0.0361016508600841,-0.546570973556699,G1,G5,1.4603444702668127,2.6401348346844,-0.0034218499165417082
