,ann_ret,vol,sharpe,max_dd
G1,-0.09563802306872027,0.24049678439097064,-0.3976686146174974,-0.7418083523163936
G2,-0.07399555856815287,0.24048076676797994,-0.3076984474169824,-0.6315105779929743
G3,-0.08883965003572536,0.23816437551013553,-0.37301821418688463,-0.7159741798028837
G4,-0.07931521378272133,0.231685807330807,-0.34233954464665595,-0.6476721608273182
G5,-0.0896075018748701,0.223912091216413,-0.4001905452629785,-0.7130477395965125
G6,-0.08714621172700265,0.2185346845008983,-0.3987751963768682,-0.7057785923952618
G7,-0.07793425932418652,0.23043297843730742,-0.3382079242854106,-0.6623524338688128
G8,-0.11956766132348717,0.22641676341348518,-0.5280866112600117,-0.7644176930746113
G9,-0.12138445812845777,0.22754859568268124,-0.5334441101000228,-0.7834929404400951
G10,-0.1467736745867031,0.23870401568665697,-0.6148772745380647,-0.8509670952085356
LS,-0.06464927939891452,0.09923577969568217,-0.6514714712492702,-0.5548614539465688
LS_gross,0.049016732289163256,0.09911323384187486,0.49455285020126066,-0.21093793917087067
LS_effective,-0.06464927939891452,0.09923577969568217,-0.6514714712492702,-0.5548614539465688
LS_raw_gross_GN_minus_G1,-0.05621154072696022,0.09911323384187486,-0.5671446541300433,-0.5098610287301452
BENCH,-0.06325518995173107,0.23451794536523513,-0.26972430554607785,-0.6372066457825398
