year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G10,G1,,,,,-0.012919708410918607,0.40506306705907436,0.5,1.4402353026151091,
2017,12,-0.32769021908666096,-0.2205835053700459,G10,G1,-0.2205835053700459,-0.32769021908666096,-0.20837844474318756,-0.012205060626858333,-0.028154472037511313,-0.511915208570522,0.25,2.016544033757731,0.026222359454300515
2018,12,-0.399245824633243,-0.31044262062035255,G10,G1,-0.31044262062035255,-0.399245824633243,-0.31300874315117466,0.0025661225308221125,-0.04725616995523996,0.10468463383223842,0.5833333333333334,0.7751132363627996,0.014697438877687707
2019,12,0.12743834097749995,0.13369296858338386,G10,G1,0.13369296858338386,0.12743834097749995,0.23191307815818663,-0.09822010957480276,-0.06939504437665456,-2.5468575302370167,0.16666666666666666,0.736977973264423,-0.11450208159042419
2020,12,-0.12925555917618947,0.20757693386146747,G10,G1,0.20757693386146747,-0.12925555917618947,-0.0023411739685105237,0.209918107829978,-0.029367464018286493,2.211392009443409,0.75,2.502376616845105,0.21741169597341337
2021,12,0.01670636254432356,-0.003740758524329757,G10,G1,-0.003740758524329757,0.01670636254432356,0.05826006212485635,-0.062000820649186106,-0.15695136962390643,-0.5348584188292462,0.5,0.6646256977002777,-0.13590692461455434
2022,12,-0.12944212443767633,-0.11841237821498052,G10,G1,-0.11841237821498052,-0.12944212443767633,-0.09104207055638247,-0.027370307658598048,-0.03140269580560806,-0.5935703082958385,0.5,0.6422906679600823,-0.10076462113132467
2023,12,-0.37199278303616246,-0.30023275421009743,G10,G1,-0.30023275421009743,-0.37199278303616246,-0.3227519459452467,0.02251919173514927,-0.026397381136866294,0.9149578401778597,0.5,1.9133701918197814,-0.0008495917434870881
2024,12,0.07836366530396388,-0.000581871639039,G10,G1,-0.000581871639039,0.07836366530396388,0.14896792910812517,-0.14954980074716417,-0.13880653823636058,-1.6726095273929462,0.3333333333333333,0.2695910105418716,-0.18148601155679422
2025,12,0.17293325919737512,0.1600376301045019,G10,G1,0.1600376301045019,0.17293325919737512,0.27964393481905936,-0.11960630471455747,-0.08050195406489546,-1.8720565959523672,0.16666666666666666,1.2399724989742615,-0.11913581718640853
2026,6,,,G10,G1,,,,,-0.11483600777535918,-0.41969343469608394,0.16666666666666666,3.5733134232563506,
