year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G1,G10,,,,,-0.006834534934503589,1.4560431085128849,0.6666666666666666,1.4164651792717062,
2017,12,-0.24623976739984788,-0.31287094325835185,G1,G10,-0.24623976739984788,-0.31287094325835185,-0.20837844474318756,-0.03786132265666031,-0.05694943622772697,-1.055697290805965,0.4166666666666667,0.6102726415383074,-0.03735017813510144
2018,12,-0.303748411798758,-0.32480886549892496,G1,G10,-0.303748411798758,-0.32480886549892496,-0.31300874315117466,0.009260331352416662,-0.01984698683427699,0.46930127494211943,0.6666666666666666,0.6907736457308797,-0.09744910627740144
2019,12,0.08615011624965851,0.07529660150944806,G1,G10,0.08615011624965851,0.07529660150944806,0.23191307815818663,-0.1457629619085281,-0.1117366763309543,-3.852718401808818,0.16666666666666666,0.17989961852893546,-0.1094066289614336
2020,12,-0.11564362585432253,-0.1467732745123429,G1,G10,-0.11564362585432253,-0.1467732745123429,-0.0023411739685105237,-0.113302451885812,-0.10073971740395515,-1.360098427069695,0.4166666666666667,0.463818102347919,-0.10464855127036354
2021,12,0.08458725933769218,0.019860722058907765,G1,G10,0.08458725933769218,0.019860722058907765,0.05826006212485635,0.02632719721283583,-0.10147168186435296,0.2583465749181731,0.5,1.2006724166164002,-0.06970132353180936
2022,12,-0.09940924741286106,-0.14287070403603652,G1,G10,-0.09940924741286106,-0.14287070403603652,-0.09104207055638247,-0.008367176856478586,-0.039345897212611725,-0.25398286832134254,0.5833333333333334,0.594616320576528,-0.07335156845842628
2023,12,-0.28632290226419244,-0.3069610262872806,G1,G10,-0.28632290226419244,-0.3069610262872806,-0.3227519459452467,0.03642904368105426,-0.026818525279944105,0.979267133387675,0.5833333333333334,1.80184801156063,-0.09231276570818536
2024,12,0.0673226648130889,0.04035269696935484,G1,G10,0.0673226648130889,0.04035269696935484,0.14896792910812517,-0.08164526429503627,-0.054240017229205795,-1.1707487763822102,0.16666666666666666,1.943194229358252,-0.09302285762933582
2025,12,0.13936761885943882,0.2617254199493484,G1,G10,0.13936761885943882,0.2617254199493484,0.27964393481905936,-0.14027631595962053,-0.09581499035228014,-2.693748563963755,0.25,0.3367026278720221,-0.20700891604081229
2026,6,,,G1,G10,,,,,-0.16561397558231006,-0.24624779098161817,0.3333333333333333,1.641162180754446,
