,ann_ret,vol,sharpe,max_dd
G1,-0.1076848861558275,0.22037506707030388,-0.488643690901176,-0.7384858916142765
G2,-0.07250961676675427,0.2378236383123293,-0.3048881821895633,-0.6764307325945067
G3,-0.08570161725919301,0.22672327856650684,-0.37800096135277683,-0.709174624916596
G4,-0.09328509590488376,0.2254019443966788,-0.41386109669361965,-0.7225294951598497
G5,-0.09656319065845986,0.2288878360199762,-0.4218799580508608,-0.7385581846402666
G6,-0.08806588830490492,0.23662897284828874,-0.3721686623783263,-0.6589176528160843
G7,-0.10039377557509332,0.23085811516504687,-0.4348721962982286,-0.7266784707040971
G8,-0.10917541329304159,0.22874484600183095,-0.47728031997786613,-0.7573611774071989
G9,-0.09781291977594075,0.2287143094500241,-0.42766418949101065,-0.74559976719545
G10,-0.11710180925298563,0.2277989389760591,-0.5140577466223082,-0.7883291233751067
LS,-0.11119885971337384,0.059398904515041644,-1.8720692009600084,-0.6964329692952842
LS_gross,0.007309269043391575,0.059048987778715964,0.12378313868449037,-0.1665709017764
LS_effective,-0.11119885971337384,0.059398904515041644,-1.8720692009600084,-0.6964329692952842
LS_raw_gross_GN_minus_G1,-0.010691545678179093,0.059048987778715964,-0.1810623023420027,-0.23443469745946688
BENCH,-0.06325518995173107,0.23451794536523513,-0.26972430554607785,-0.6372066457825398
