,ann_ret,vol,sharpe,max_dd
G1,-0.06943791531812504,0.20486952400317385,-0.3389372609517524,-0.6163617384614754
G2,-0.0831196842869667,0.214307036793963,-0.3878532666516164,-0.695224223018125
G3,-0.07734618930534265,0.22639237260290107,-0.3416466218188815,-0.6861741432760834
G4,-0.07804306737501188,0.23081195792294262,-0.3381240212912488,-0.7071397856965602
G5,-0.08618910382529898,0.23757864450479857,-0.3627813602731375,-0.7172299057585405
G6,-0.08062425700743758,0.2440665024092963,-0.33033724911676643,-0.6791953075144026
G7,-0.0734803681344891,0.24409555414685466,-0.30103116130612223,-0.6697044338097389
G8,-0.10792728321365097,0.24071952930817034,-0.44835283420433214,-0.76977472560158
G9,-0.10761700126231966,0.24091526323982423,-0.4467006357965374,-0.7489223491033711
G10,-0.12946438689335016,0.23826178469755738,-0.5433703397197688,-0.7811549916713345
LS,-0.025402933482478574,0.1075951723597786,-0.23609733527388949,-0.3559777850180835
LS_gross,0.049731923263927724,0.10677183316977072,0.46577755375663854,-0.19564213523727692
LS_effective,-0.025402933482478574,0.1075951723597786,-0.23609733527388949,-0.3559777850180835
LS_raw_gross_GN_minus_G1,-0.0583334438646711,0.10677183316977072,-0.5463373825559312,-0.4569499465557886
BENCH,-0.06325518995173107,0.23451794536523513,-0.26972430554607785,-0.6372066457825398
