year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G1,G10,,,,,-0.03258947978845128,-3.9132995832111663,0.16666666666666666,0.5430344940187678,
2017,12,-0.28889659814123025,-0.3287720494020262,G1,G10,-0.28889659814123025,-0.3287720494020262,-0.20837844474318756,-0.08051815339804269,-0.10092700794848042,-1.4146691670633311,0.25,0.9719727028159035,-0.04539893402584971
2018,12,-0.3436782317908833,-0.36943435545000447,G1,G10,-0.3436782317908833,-0.36943435545000447,-0.31300874315117466,-0.030669488639708642,-0.03790287560222305,-0.9366237471700738,0.4166666666666667,0.748688968975436,-0.0783541708881832
2019,12,0.19713330237502324,0.08456323588587633,G1,G10,0.19713330237502324,0.08456323588587633,0.23191307815818663,-0.03477977578316338,-0.06361539055950027,-0.3483763797265391,0.3333333333333333,1.4979480306678834,-0.018293963683545078
2020,12,-0.045177528326923455,-0.30066913251639193,G1,G10,-0.045177528326923455,-0.30066913251639193,-0.0023411739685105237,-0.04283635435841293,-0.061264506982595335,-0.7331790283862767,0.5833333333333334,0.41557689313811247,0.19331443957778793
2021,12,0.006485932987994492,-0.024672895282476848,G1,G10,0.006485932987994492,-0.024672895282476848,0.05826006212485635,-0.05177412913686186,-0.0988205956239574,-0.5969126367502147,0.4166666666666667,0.870084949222043,-0.08304376122747714
2022,12,-0.09645265141165293,-0.18317158230536013,G1,G10,-0.09645265141165293,-0.18317158230536013,-0.09104207055638247,-0.005410580855270464,-0.018947876500297056,-0.09045250881456672,0.4166666666666667,1.3046111307416193,-0.020163049597521354
2023,12,-0.3360801786434576,-0.3294476021004984,G1,G10,-0.3360801786434576,-0.3294476021004984,-0.3227519459452467,-0.013328232698210929,-0.049254608311350756,-0.3693771325172278,0.3333333333333333,1.5068966969863435,-0.12149051433754399
2024,12,0.07382431773876097,-0.02305353877141858,G1,G10,0.07382431773876097,-0.02305353877141858,0.14896792910812517,-0.0751436113693642,-0.0654872704455346,-0.9140189640163209,0.5,0.4550914729713826,-0.030105470931251044
2025,12,0.21569758910983916,0.1551647910088947,G1,G10,0.21569758910983916,0.1551647910088947,0.27964393481905936,-0.0639463457092202,-0.07096813263041257,-1.1222414576052402,0.25,1.1582946817482629,-0.07025232955545291
2026,6,,,G1,G10,,,,,-0.13521387449088773,-0.8295254533295812,0.3333333333333333,1.0239586552659583,
