year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G5,G1,,,,,-0.0493399486780538,-3.403878754897205,0.3333333333333333,0.13444297286548143,
2017,12,-0.08339968879038429,-0.07829123801176663,G5,G1,-0.07829123801176663,-0.08339968879038429,-0.0511146318616541,-0.027176606150112526,-0.02302713060402306,-0.9569437452045354,0.25,1.384237063024781,-0.1107096862599184
2018,12,-0.29804949755888643,-0.2507433723957375,G5,G1,-0.2507433723957375,-0.29804949755888643,-0.27987957222849225,0.029136199832754728,-0.03404646321503335,0.6439007873382233,0.6666666666666666,0.7992645177849461,-0.06347544491202961
2019,12,0.08264844623948875,0.15797306754690332,G5,G1,0.15797306754690332,0.08264844623948875,0.21148937490818254,-0.053516307361279214,-0.0935717107939199,-0.4942444129612239,0.4166666666666667,0.950604246888762,-0.0409844239857029
2020,12,-0.018141114028681238,0.052913838120854706,G5,G1,0.052913838120854706,-0.018141114028681238,0.07969758041170594,-0.02678374229085123,-0.04860979440980384,-0.26835527334744913,0.5833333333333334,0.5600896313267956,-0.06511916814161534
2021,12,-0.032954679047117574,-0.05829728073384044,G5,G1,-0.05829728073384044,-0.032954679047117574,-0.000766836873308363,-0.05753044386053208,-0.032836554720422795,-0.7484077956004488,0.4166666666666667,0.7918897171290726,-0.1468129634897577
2022,12,-0.13029329454089988,-0.1179263418610057,G5,G1,-0.1179263418610057,-0.13029329454089988,-0.10382021613593906,-0.014106125725066643,-0.03417565677299672,-0.2826412271509793,0.5833333333333334,0.5658936143890534,-0.10902767445064088
2023,12,-0.3481824217923071,-0.36412697834244123,G5,G1,-0.36412697834244123,-0.3481824217923071,-0.28020958864022805,-0.08391738970221319,-0.09580672525252454,-2.822893560014203,0.3333333333333333,0.1264475472723569,-0.1348165803483512
2024,12,0.07770741077552112,0.07470356385172172,G5,G1,0.07470356385172172,0.07770741077552112,0.121362559016851,-0.04665899516512928,-0.0444615648648623,-0.6644934006338572,0.4166666666666667,0.7834830609596596,-0.11281945981052188
2025,12,0.23719703493315514,0.333815784488785,G5,G1,0.333815784488785,0.23719703493315514,0.35270501764150897,-0.01888923315272395,-0.02796228747487506,-0.38587599937133804,0.5833333333333334,0.5392690649296452,-0.041253812347541996
2026,6,,,G5,G1,,,,,-0.029948510192887023,0.9206678388081563,0.5,1.8708246242306494,
