year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G1,G5,,,,,-0.00419826064193729,1.664874490120618,0.6666666666666666,1.8841180752350044,
2017,12,-0.14989732527355049,-0.16811986406769786,G1,G5,-0.14989732527355049,-0.16811986406769786,-0.0511146318616541,-0.09878269341189638,-0.11155992010660276,-2.452743345105,0.25,0.48963594967195645,-0.07802126812513821
2018,12,-0.3070376028875329,-0.32886290057545986,G1,G5,-0.3070376028875329,-0.32886290057545986,-0.27987957222849225,-0.027158030659040655,-0.02970013455365117,-0.7057553681900237,0.3333333333333333,1.259008037648577,-0.06405170244379421
2019,12,0.13555907218965224,0.12379731872009536,G1,G5,0.13555907218965224,0.12379731872009536,0.21148937490818254,-0.0759303027185303,-0.12659421430008544,-0.6487961331567796,0.25,1.8153579598011718,-0.08133172252113374
2020,12,0.005084103324582312,-0.04049337084128091,G1,G5,0.005084103324582312,-0.04049337084128091,0.07969758041170594,-0.07461347708712363,-0.061544381602924525,-0.902797265508251,0.4166666666666667,0.718148467363148,-0.0605673100538352
2021,12,0.03714634964901875,-0.036403375223649004,G1,G5,0.03714634964901875,-0.036403375223649004,-0.000766836873308363,0.037913186522327114,-0.06941842378150298,0.46466150487631847,0.5833333333333334,0.9838915902008768,-0.02745132150230145
2022,12,-0.07145297751013002,-0.11557065297279812,G1,G5,-0.07145297751013002,-0.11557065297279812,-0.10382021613593906,0.032367238625809036,-0.02900521125108002,0.5824595134259213,0.3333333333333333,3.1834578380458916,-0.04597299099095431
2023,12,-0.2600341590513102,-0.3163195026834533,G1,G5,-0.2600341590513102,-0.3163195026834533,-0.28020958864022805,0.020175429588917826,-0.020562425096658177,0.700400533182719,0.4166666666666667,2.4547085897020677,-0.02486052879532019
2024,12,0.04166965364535957,-0.0027370655936886923,G1,G5,0.04166965364535957,-0.0027370655936886923,0.121362559016851,-0.07969290537149143,-0.06139986698898359,-1.3075804617112248,0.3333333333333333,0.7785832234105479,-0.06724284850694007
2025,12,0.30818767993930596,0.25840573343461304,G1,G5,0.30818767993930596,0.25840573343461304,0.35270501764150897,-0.04451733770220301,-0.06143115047589176,-0.6323623837125523,0.4166666666666667,0.8841513929220912,-0.05958088454037713
2026,6,,,G1,G5,,,,,-0.1441016747613818,-0.3068258530765596,0.3333333333333333,1.5060745091493848,
