year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G5,G1,,,,,-0.015714323137482666,-0.6439848441396087,0.5,0.6062199323918798,
2017,12,-0.1761965609340992,-0.1383009456417077,G5,G1,-0.1383009456417077,-0.1761965609340992,-0.0511146318616541,-0.08718631378005359,-0.08565651215745107,-3.073893440734123,0.16666666666666666,0.35541168804344936,-0.06707919747603319
2018,12,-0.29395676635125234,-0.31285506461810775,G5,G1,-0.31285506461810775,-0.29395676635125234,-0.27987957222849225,-0.0329754923896155,-0.04282448315241938,-1.4856961028926023,0.5,0.2709440863288674,-0.1314922245070318
2019,12,0.1739785567716181,0.15085892701449155,G5,G1,0.15085892701449155,0.1739785567716181,0.21148937490818254,-0.060630447893690986,-0.06847448084333996,-1.0247122490812948,0.3333333333333333,0.840189566440528,-0.12341760775004484
2020,12,-0.0526139585049592,0.010319928364535658,G5,G1,0.010319928364535658,-0.0526139585049592,0.07969758041170594,-0.06937765204717028,-0.06109511943096113,-1.0455688853097351,0.3333333333333333,0.8490879215306716,-0.04545709388037744
2021,12,-0.015646853494615587,-0.021356501948103235,G5,G1,-0.021356501948103235,-0.015646853494615587,-0.000766836873308363,-0.020589665074794872,-0.046035163784231004,-0.4800700934533525,0.5,0.6978659017962312,-0.11293705127819842
2022,12,-0.15428241637179063,-0.09038081664301334,G5,G1,-0.09038081664301334,-0.15428241637179063,-0.10382021613593906,0.013439399492925719,-0.015083734670244708,0.49518659304659784,0.6666666666666666,0.7181092248897646,-0.036096719563945556
2023,12,-0.33515634774849434,-0.27855203969137354,G5,G1,-0.27855203969137354,-0.33515634774849434,-0.28020958864022805,0.0016575489488545037,-0.017457184235537437,0.11279462759177913,0.4166666666666667,1.51389668386593,-0.03437046650094655
2024,12,0.050960362961317784,0.04356719115262786,G5,G1,0.04356719115262786,0.050960362961317784,0.121362559016851,-0.07779536786422314,-0.056927521398610126,-1.7435415251818183,0.25,0.6964208241364892,-0.11556880640124612
2025,12,0.2135531520177918,0.24552393036817444,G5,G1,0.24552393036817444,0.2135531520177918,0.35270501764150897,-0.10718108727333453,-0.0763909728938783,-1.6797735438947758,0.3333333333333333,0.6351946669774126,-0.08548837933262887
2026,6,,,G5,G1,,,,,-0.10023741004541198,-0.11459854710433783,0.3333333333333333,1.8204945568015767,
