year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G5,G1,,,,,-0.007116077826379241,0.46355622689592046,0.6666666666666666,0.7228434855674849,
2017,12,-0.14730480897585418,-0.17046681608984937,G5,G1,-0.17046681608984937,-0.14730480897585418,-0.0511146318616541,-0.11935218422819527,-0.12293415253131945,-4.627728950598418,0.08333333333333333,0.11697811454686173,-0.13028510715393504
2018,12,-0.2676904819230179,-0.28777074810260594,G5,G1,-0.28777074810260594,-0.2676904819230179,-0.27987957222849225,-0.007891175874113698,-0.036354394559512504,-0.09208030519415783,0.5,0.9266968366582738,-0.1298648233866354
2019,12,0.11170328889397041,0.13199922503271377,G5,G1,0.13199922503271377,0.11170328889397041,0.21148937490818254,-0.07949014987546876,-0.09220222393589017,-1.5561817782328287,0.25,1.0267436775427177,-0.09192376127055701
2020,12,0.01782261447018607,-0.04457216727012969,G5,G1,-0.04457216727012969,0.01782261447018607,0.07969758041170594,-0.12426974768183563,-0.10352584854274938,-1.118685143359248,0.4166666666666667,0.6500867509516067,-0.16822382575123418
2021,12,-0.05679378446253058,0.017920906825170668,G5,G1,0.017920906825170668,-0.05679378446253058,-0.000766836873308363,0.01868774369847903,-0.06427602742808025,0.242912058185813,0.5,1.2038634349638264,-0.030595008004240976
2022,12,-0.09995128921369456,-0.040446071529813055,G5,G1,-0.040446071529813055,-0.09995128921369456,-0.10382021613593906,0.063374144606126,-0.026654897479030493,1.3647321232466294,0.6666666666666666,1.2909886004714504,-0.051611019005643466
2023,12,-0.26916101696944406,-0.24920748840632856,G5,G1,-0.24920748840632856,-0.26916101696944406,-0.28020958864022805,0.031002100233899488,-0.015070301051075874,1.193972491846807,0.5,2.3397192713272728,-0.0815543161888459
2024,12,0.04419176353369081,0.027541469958553,G5,G1,0.027541469958553,0.04419176353369081,0.121362559016851,-0.093821089058298,-0.07177275305153996,-2.8458137911064245,0.16666666666666666,0.43144305922173354,-0.13428439110458423
2025,12,0.19877506432521486,0.20953004908498762,G5,G1,0.20953004908498762,0.19877506432521486,0.35270501764150897,-0.14317496855652134,-0.09527470422657114,-1.8699249914828404,0.3333333333333333,0.5427076683351887,-0.10214822522521139
2026,6,,,G5,G1,,,,,-0.18663054602087936,-0.6420496203946847,0.3333333333333333,1.1879403027587503,
