year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G1,G5,,,,,-0.004460070745308298,0.8261939691526274,0.6666666666666666,1.0053659104691919,
2017,12,-0.15651032984555702,-0.20362655216935943,G1,G5,-0.15651032984555702,-0.20362655216935943,-0.0511146318616541,-0.10539569798390291,-0.11153813120254363,-3.9047713462778404,0.16666666666666666,0.12714789618550262,-0.038362470945691896
2018,12,-0.26567594529355487,-0.32574055633942967,G1,G5,-0.26567594529355487,-0.32574055633942967,-0.27987957222849225,0.014203626934937374,-0.029773509408213328,0.5184138110404923,0.5,1.4897565651853888,-0.010438714863291065
2019,12,0.0521720340647871,0.20803653053764126,G1,G5,0.0521720340647871,0.20803653053764126,0.21148937490818254,-0.15931734084339544,-0.14628142008313305,-3.1804278696049813,0.08333333333333333,1.3589262285205816,-0.21552859091239862
2020,12,-0.04045062338686978,-0.03301775903660975,G1,G5,-0.04045062338686978,-0.03301775903660975,0.07969758041170594,-0.12014820379857571,-0.043590970247079586,-1.1349194144888326,0.5,0.29766352367580656,-0.11156813032049506
2021,12,-0.01577633080769103,0.0892325100789193,G1,G5,-0.01577633080769103,0.0892325100789193,-0.000766836873308363,-0.015009493934382667,-0.09326722775193497,-0.26542861251384114,0.4166666666666667,1.1461752853813008,-0.1849473347658831
2022,12,-0.12025019998555808,-0.10059427459537651,G1,G5,-0.12025019998555808,-0.10059427459537651,-0.10382021613593906,-0.016429983849619023,-0.025229587126817554,-0.4152044543804587,0.4166666666666667,1.0527830437261616,-0.11652651570682304
2023,12,-0.2733765670413123,-0.3131199036100428,G1,G5,-0.2733765670413123,-0.3131199036100428,-0.28020958864022805,0.006833021598915745,-0.026724514691879975,0.29978126137300054,0.5833333333333334,0.8840655400848624,-0.04347664207244062
2024,12,0.0863714623843106,0.07464629120605548,G1,G5,0.0863714623843106,0.07464629120605548,0.121362559016851,-0.03499109663254041,-0.036121137114636714,-0.8535348502173442,0.25,1.507990074712885,-0.09968740813137023
2025,12,0.19242291645027065,0.2075836980200414,G1,G5,0.19242291645027065,0.2075836980200414,0.35270501764150897,-0.1602821011912383,-0.12030561345083501,-1.8595032062866566,0.4166666666666667,0.3674140038011956,-0.11577224161845001
2026,6,,,G1,G5,,,,,-0.1036712525427197,0.14814323801814333,0.3333333333333333,2.249964785748057,
