year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G5,G1,,,,,0.0,5.5234674046982315,1.0,,
2017,12,-0.18512685669211504,-0.11105007191369698,G5,G1,-0.11105007191369698,-0.18512685669211504,-0.0511146318616541,-0.059935440052042877,-0.07734982249739286,-1.9308839745724748,0.25,0.7047387062031862,-0.004803360484724517
2018,12,-0.2949704982925674,-0.2545435048644159,G5,G1,-0.2545435048644159,-0.2949704982925674,-0.27987957222849225,0.025336067364076342,-0.018314855647266426,0.7585741286193388,0.5,1.7550831050036417,-0.03215618270454457
2019,12,0.15432824094976194,0.1132349085239821,G5,G1,0.1132349085239821,0.15432824094976194,0.21148937490818254,-0.09825446638420043,-0.09957789526535843,-1.390494533511505,0.25,1.0877692433535768,-0.1315395148877696
2020,12,-0.13735034369053933,0.019520961923060298,G5,G1,0.019520961923060298,-0.13735034369053933,0.07969758041170594,-0.06017661848864564,-0.07484057388087606,-0.9349171109009948,0.5,0.49941396608602984,0.0631893382183002
2021,12,0.04314592922168381,0.0956623366937075,G5,G1,0.0956623366937075,0.04314592922168381,-0.000766836873308363,0.09642917356701586,-0.0592628358088797,0.9303219313477471,0.5,2.022061321108534,-0.052970503976274674
2022,12,-0.12240948444692545,-0.0478691058042604,G5,G1,-0.0478691058042604,-0.12240948444692545,-0.10382021613593906,0.055951110331678655,-0.03990468021538229,0.7107562627465546,0.5,1.8847509574250154,-0.029701203835142742
2023,12,-0.33444995197983707,-0.23756456619674093,G5,G1,-0.23756456619674093,-0.33444995197983707,-0.28020958864022805,0.04264502244348711,-0.014827270010733029,1.0779948245246973,0.5833333333333334,2.1934975975318673,0.03295997392179961
2024,12,0.021882130942444178,0.07702575596947203,G5,G1,0.07702575596947203,0.021882130942444178,0.121362559016851,-0.04433680304737897,-0.05689337105408088,-0.7820831085419542,0.5,0.5686364144300508,-0.0742142216839291
2025,12,0.2687715863604305,0.2282566598392448,G5,G1,0.2282566598392448,0.2687715863604305,0.35270501764150897,-0.12444835780226415,-0.11724090896594652,-1.4657601427510019,0.4166666666666667,0.4913949862917985,-0.1196254552958057
2026,6,,,G5,G1,,,,,-0.15580411794192495,-0.4067525017374734,0.3333333333333333,1.4545628666824524,
