,ann_ret,vol,sharpe,max_dd
G1,-0.12072575037268873,0.2421370092308156,-0.49858446156658215,-0.7792374379280904
G2,-0.09350556120720677,0.22938102109999564,-0.40764297219883877,-0.7077650509074467
G3,-0.08966503784154345,0.2280284376574132,-0.39321866501692637,-0.7074837129328713
G4,-0.06621527592714815,0.2205158605723273,-0.3002744372005392,-0.6558740511800714
G5,-0.07284458222528178,0.22076467256267637,-0.3299648507149657,-0.663246586465243
G6,-0.07840784234172549,0.21525397005260322,-0.3642573575881754,-0.661890507445568
G7,-0.07831262054157784,0.22222138942045241,-0.3524081131245516,-0.6711422611966947
G8,-0.07565663584024851,0.2125554605672687,-0.35593833081651177,-0.6496663021565772
G9,-0.09353516124686034,0.21441288889896848,-0.4362385196485748,-0.7413405180410786
G10,-0.09160313464804937,0.23052605669700543,-0.3973656425678985,-0.7459282552090376
LS,-0.09584729093718836,0.05330775528334497,-1.7979990046051344,-0.6449561883795227
LS_gross,0.02532050035190192,0.05312895402492367,0.4765857114375648,-0.1085968192433634
LS_effective,-0.09584729093718836,0.05330775528334497,-1.7979990046051344,-0.6449561883795227
LS_raw_gross_GN_minus_G1,0.02532050035190192,0.05312895402492367,0.4765857114375648,-0.1085968192433634
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
