year,n_months,g1_ann,gN_ann,long_group,short_group,long_ann,short_ann,bench_ann,ann_excess,excess_maxdd,ir,win_rate,pl_ratio,ls_ann
2016,6,,,G10,G1,,,,,-0.032290258114825554,-1.333595664844701,0.3333333333333333,0.6633640952042804,
2017,12,-0.26673450004730115,-0.18192158915376655,G10,G1,-0.18192158915376655,-0.26673450004730115,0.002859362588019332,-0.18478095174178588,-0.1776470824729005,-3.105987196489796,0.25,0.27217045893277864,-0.011839040457330752
2018,12,-0.38493388004419893,-0.242014195575043,G10,G1,-0.242014195575043,-0.38493388004419893,-0.23506576116909061,-0.006948434405952386,-0.09346999804834477,-0.06107736176616854,0.5833333333333334,0.6800390120594828,0.09292986130078629
2019,12,0.15428302920212777,0.11950472616251417,G10,G1,0.11950472616251417,0.15428302920212777,0.19261322210251897,-0.07310849594000479,-0.07604798911067301,-1.3021186978260886,0.3333333333333333,0.7929875514385262,-0.14326126894275282
2020,12,-0.13411688596545857,0.0774264255963022,G10,G1,0.0774264255963022,-0.13411688596545857,0.14406132727068166,-0.06663490167437947,-0.10634173636599453,-0.7184966096180686,0.3333333333333333,1.1017111841690468,0.09920356254803764
2021,12,-0.0016854734645072034,0.020663618009540086,G10,G1,0.020663618009540086,-0.0016854734645072034,-0.09465316897595921,0.1153167869854993,-0.027714704400017443,1.5033155708292831,0.5833333333333334,2.130141278263439,-0.09224251205905976
2022,12,-0.09801092737673811,-0.0963136831790311,G10,G1,-0.0963136831790311,-0.09801092737673811,-0.11077683880020706,0.01446315562117595,-0.0357164351955348,0.23379966109543304,0.3333333333333333,2.4034723393641593,-0.11317451129954992
2023,12,-0.3116317863500069,-0.25559979769789887,G10,G1,-0.25559979769789887,-0.3116317863500069,-0.25271862213622487,-0.0028811755616739987,-0.08082911558035866,0.08137111487563936,0.6666666666666666,0.5395073784873801,-0.03018339130692249
2024,12,0.1388017316792749,0.040141412619402184,G10,G1,0.040141412619402184,0.1388017316792749,0.11434797450486012,-0.07420656188545793,-0.08719774509304501,-0.9066453452736146,0.3333333333333333,0.9831669454054042,-0.19815548494972113
2025,12,0.2761667301153463,0.22371036726365778,G10,G1,0.22371036726365778,0.2761667301153463,0.24212967510192374,-0.018419307838265953,-0.09528653472550086,-0.2303914731629616,0.6666666666666666,0.42086840371412254,-0.14982361232336738
2026,6,,,G10,G1,,,,,-0.15069307678334087,-1.4193187222715846,0.3333333333333333,0.6287958745980932,
