,ann_ret,vol,sharpe,max_dd
G1,-0.056097784879684864,0.20946193533363355,-0.2678185169555109,-0.5976335559198251
G2,-0.047393672047887914,0.2141394880543946,-0.22132149692937167,-0.565726573803382
G3,-0.05668084147749308,0.2123382714820994,-0.26693653047972277,-0.5975825387681939
G4,-0.05502543097481316,0.21745989453963974,-0.25303714549895007,-0.5949325968895851
G5,-0.06317388197385987,0.21865878536928954,-0.2889153612884406,-0.6521378578085967
G6,-0.08354023078785622,0.21186794878636214,-0.3943032972490536,-0.6929357970376646
G7,-0.06198246029699961,0.2139738805416632,-0.2896730205579036,-0.6285990927910436
G8,-0.08863905147783191,0.21743747260869034,-0.4076530618866716,-0.7099123019955663
G9,-0.08583727853034029,0.2090266761715529,-0.4106522674641379,-0.6977987936706054
G10,-0.09653173842760543,0.20759723123763588,-0.46499530775102615,-0.7237354033453702
LS,-0.06966397662152324,0.04573123326119145,-1.5233347463787217,-0.5251514146397774
LS_gross,0.04457535524007383,0.04563931578976727,0.9766876314580512,-0.04912751130037807
LS_effective,-0.06966397662152324,0.04573123326119145,-1.5233347463787217,-0.5251514146397774
LS_raw_gross_GN_minus_G1,-0.044808813209293086,0.04563931578976727,-0.9818029134288557,-0.382935841690208
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
