,ann_ret,vol,sharpe,max_dd
G1,-0.047425649318325824,0.2092902259015953,-0.22660231319461885,-0.5810817388323013
G2,-0.044460248877913444,0.2135464634042007,-0.20819941557055477,-0.572586451512665
G3,-0.06507134173791207,0.2127806402378997,-0.3058142021997817,-0.6312352061833815
G4,-0.05924573043036774,0.21510393163162025,-0.27542839399063135,-0.6108482175961543
G5,-0.07486659991355982,0.21097602087874087,-0.35485833698887337,-0.6664758611563326
G6,-0.06277728040922614,0.2115196818627603,-0.29679167374106463,-0.620978448290055
G7,-0.06703753036196025,0.21332889025140642,-0.3142449683348423,-0.6378290192119751
G8,-0.08149396819219801,0.21155384764220972,-0.385216194838605,-0.6950122687591065
G9,-0.0787547041658343,0.21916177147291968,-0.3593450793746914,-0.6737650839467946
G10,-0.10606880716823464,0.21287269401500356,-0.49827342891032683,-0.7530545050587891
LS,-0.060573496883800426,0.03765032505670428,-1.608843928772782,-0.5002586602080763
LS_gross,0.06339284989602967,0.037604004776092353,1.6858004958113715,-0.046992532368262174
LS_effective,-0.060573496883800426,0.03765032505670428,-1.608843928772782,-0.5002586602080763
LS_raw_gross_GN_minus_G1,-0.06123589657676387,0.037604004776092353,-1.628440825422298,-0.46177209311598477
BENCH,-0.02277343760052075,0.18072740411243016,-0.12600987499578892,-0.4592884021930702
