year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,0.03877545746319844,0.05381299343379271,2.49609092999501,0.6666666666666666,0.04934279308403635
2017,12,-0.013653379330109952,0.07778988887012804,-0.6080056685578404,0.25,-0.014424417012078819
2018,12,-0.004022351143354433,0.0573467923793176,-0.2429749339802759,0.4166666666666667,0.005635169150033213
2019,12,-0.00129208945727889,0.08477880866236832,-0.05279537712882543,0.5833333333333334,0.004511079642250906
2020,12,0.029514708568757392,0.10619903074911742,0.9627390090300074,0.5,0.012797100706045993
2021,12,-0.00417469044083183,0.11383400996995317,-0.1270406963841725,0.5,0.0008345660672889691
2022,12,-0.005858446467269448,0.06853601206308352,-0.2961108074217457,0.5833333333333334,-0.0013999026887231737
2023,12,0.023559718344132213,0.05696707641515016,1.4326390523069612,0.6666666666666666,0.03706778374956502
2024,12,-0.023420012517462337,0.06125373757183371,-1.3244792302371011,0.5,-0.006999984405490112
2025,12,-0.02060527803063904,0.06775278695737814,-1.0535179453385746,0.3333333333333333,-0.006995599542060057
2026,6,-0.03229783641441372,0.09746309448625816,-1.1479523390712834,0.3333333333333333,0.006409958321849402
