year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.0025397868519924055,0.08839549555676865,-0.09953086048872584,0.16666666666666666,-0.02538675084455137
2017,12,-0.014642713381709674,0.0969713765064222,-0.5230806130943224,0.5,-0.005639639314699317
2018,12,-0.013826292969103716,0.07069703896330784,-0.6774779327108464,0.4166666666666667,-0.004562567100328819
2019,12,-0.02661531731234329,0.09099859521562333,-1.0131822746343118,0.4166666666666667,-0.009851748616152891
2020,12,-0.012644486916859663,0.067814622344057,-0.6459047626786699,0.4166666666666667,-0.015317997578994652
2021,12,-0.01980366074049646,0.09123315810875923,-0.7519403534733881,0.4166666666666667,-0.008228855978963539
2022,12,-0.02129997191150255,0.06773897248461677,-1.0892587294231708,0.4166666666666667,-0.024557402259954314
2023,12,0.023714541702085184,0.058925720599583085,1.394120960703638,0.6666666666666666,0.028231031488243546
2024,12,-0.006710920452458952,0.0728183221969457,-0.3192508379353889,0.5,0.009538563546019289
2025,12,-0.006190238564595653,0.10521529832869606,-0.20380701048542632,0.4166666666666667,0.01213348087174855
2026,6,-0.022257175770607377,0.07632683876734539,-1.010144266165413,0.3333333333333333,0.0025342493492311138
