year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.049561957581386075,0.06197658618981721,-2.7702019078823796,0.16666666666666666,-0.047332319599297956
2017,12,-0.05448509183824624,0.06636664122322976,-2.8439271772538333,0.25,-0.04898169486852393
2018,12,-0.03636445976800392,0.06661977029006219,-1.890882890581589,0.25,-0.027039966070593075
2019,12,-0.009893358025322695,0.08174820558353389,-0.419233636628711,0.4166666666666667,0.01039072308322142
2020,12,-0.06744678027395233,0.06673877084402306,-3.500851117394588,0.16666666666666666,-0.05718767423214518
2021,12,-0.03214046415463583,0.07094130817294428,-1.5694358710996155,0.3333333333333333,-0.011800235414505056
2022,12,-0.03954612179751634,0.08068015491788594,-1.6979613453969842,0.4166666666666667,-0.03456510386883389
2023,12,-0.03334292398481995,0.049493479684542895,-2.3337069360532863,0.25,-0.021194063602095487
2024,12,-0.028364545011189304,0.08195667403407896,-1.1988976778761327,0.4166666666666667,-0.0107496838137128
2025,12,-0.023752640062275704,0.07878985340696783,-1.0443166885780546,0.3333333333333333,-0.02121913066048546
2026,6,-0.031612910430541215,0.05520560987624782,-1.983681265855551,0.3333333333333333,0.0040198448671002855
