year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.04266373689725259,0.044389894237465574,-3.3293956300721974,0.16666666666666666,-0.03746017296643176
2017,12,-0.05399766855501988,0.08547163507623835,-2.188485228909813,0.4166666666666667,-0.055463949281151836
2018,12,-0.08139661994684588,0.06214121502628315,-4.537506427986044,0.0,-0.08121890317439208
2019,12,-0.04389037066327215,0.0964962941116271,-1.5756118439922135,0.25,-0.025507521291184027
2020,12,-0.04912488936363991,0.08047450132429398,-2.1146276868779523,0.25,-0.030395627725247187
2021,12,-0.045955370834263994,0.054549098175364734,-2.918363083097183,0.25,-0.03086802098093518
2022,12,-0.041157469829682124,0.06390627604440288,-2.230980531754397,0.3333333333333333,-0.030007545675381733
2023,12,-0.045665345763965776,0.06517412278642365,-2.4271810843571506,0.25,-0.030366712626348227
2024,12,-0.026544022363122585,0.09609181291821042,-0.956909729849835,0.5,-0.020799932098765104
2025,12,-0.03919738300939868,0.03897675636646126,-3.483710047993383,0.16666666666666666,-0.0012702562518012528
2026,6,-0.039919069532137266,0.11594670539367151,-1.1926489223782697,0.3333333333333333,-0.00798446593463147
