year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,0.08346877365928422,0.032125557149255475,9.000445106783001,1.0,0.057582972020324086
2017,12,0.023480237845414993,0.05684598096063466,1.4308475017863884,0.6666666666666666,0.024456437058981595
2018,12,0.013706732018308026,0.06667290290546418,0.7121560702134938,0.5833333333333334,0.018536431675158515
2019,12,-0.0036278750843424935,0.058211119244595017,-0.215892223037023,0.4166666666666667,-0.003262274036496392
2020,12,0.02875610007240756,0.05218704625865576,1.9087888632778849,0.75,0.00424605972262384
2021,12,0.02427677429813591,0.06722950931756264,1.2508973203905012,0.75,0.010826234816530743
2022,12,0.001492764727711859,0.07647576823489974,0.06761734891507103,0.4166666666666667,-0.0020076670673692325
2023,12,0.04857383138447854,0.04017619716472966,4.188168607956733,1.0,0.033571205030317776
2024,12,0.02484680912715163,0.0788794570861682,1.0911823535291356,0.75,0.006071025925341291
2025,12,0.028333125091261735,0.06521927974896334,1.5049050643970028,0.5833333333333334,0.006632774526281898
2026,6,0.0315390591493954,0.04524087592365592,2.4149511588527375,0.6666666666666666,0.020557938477344485
