year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.044398856655944285,0.036527250858892774,-4.210613923458798,0.0,-0.0311018712445424
2017,12,-0.04401633020246148,0.08815599203889735,-1.7296276409606461,0.4166666666666667,-0.04638617181736985
2018,12,-0.06319123921526275,0.06722365187342702,-3.2563073818171677,0.16666666666666666,-0.06170181379190567
2019,12,-0.033623494785136855,0.08033105010582942,-1.4499399975267613,0.3333333333333333,-0.02286213212370171
2020,12,-0.03651320270318172,0.08913657646412326,-1.4190072075390217,0.3333333333333333,-0.01756666370348964
2021,12,-0.05233967058042593,0.06089312504253314,-2.9775107989085563,0.16666666666666666,-0.03825127572588737
2022,12,-0.053384549569912516,0.04485662298556126,-4.122680043213725,0.16666666666666666,-0.038870985215736925
2023,12,-0.041907256785392706,0.06665905314243381,-2.1778136512992043,0.16666666666666666,-0.025391723859634497
2024,12,-0.027886857595009373,0.10497616168950577,-0.9202366221172831,0.5,-0.01435622121280411
2025,12,-0.03676982325995453,0.036855863359867354,-3.4560146617495136,0.16666666666666666,0.002174371170817591
2026,6,-0.04618608968047511,0.1577704016618441,-1.0140895007794386,0.5,-0.012236613828919782
