year,n_months,rankic_mean,rankic_std,rankicir,win_rate,ic_mean
2016,6,-0.033422271175149135,0.029828439827256463,-3.881468297701948,0.16666666666666666,-0.03021055801511145
2017,12,-0.012780248726049428,0.025660494079635977,-1.725301162026499,0.25,-0.012255271904999239
2018,12,-0.028357458395150623,0.0251672711682314,-3.903208924447972,0.08333333333333333,-0.022509433755074706
2019,12,-0.016363506887659494,0.01448686486067565,-3.912844579142109,0.08333333333333333,-0.01525460298180655
2020,12,-0.020531555987140945,0.019121101188784014,-3.719628673795497,0.08333333333333333,-0.01924039626782745
2021,12,-0.012776972622796883,0.01861429078531411,-2.3777823184174927,0.3333333333333333,-0.00704918967900725
2022,12,-0.015474421747557527,0.026833945917488517,-1.9976551169129693,0.25,-0.013014168805958832
2023,12,-0.006581065070157657,0.016683503102269143,-1.3664683009984329,0.3333333333333333,-0.0011050529808789321
2024,12,-0.005939337043306118,0.03421313755370254,-0.601361597201355,0.4166666666666667,-0.009604836331688587
2025,12,-0.009248254675755524,0.01968024797898041,-1.627870441150293,0.25,0.007243345202489308
2026,6,-0.005727641235647891,0.034953571996780584,-0.5676424503099409,0.3333333333333333,-0.0035606777033577214
